timestamp_utc,timestamp_local,source_year,month,day,hour,weekday,is_weekend,ev_energy_kwh,ev_power_kw,active_session_contributions,unique_sessions,has_ev_activity,missing_hour,source_dataset,source_site,source_period,source_timezone,construction_method
2018-04-25 11:00:00+00:00,2018-04-25 04:00:00-07:00,2018,4,25,4,Wednesday,0,3.118358819076457,3.118358819076457,1,1,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 12:00:00+00:00,2018-04-25 05:00:00-07:00,2018,4,25,5,Wednesday,0,3.6027252081756247,3.6027252081756247,1,1,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 13:00:00+00:00,2018-04-25 06:00:00-07:00,2018,4,25,6,Wednesday,0,3.1703937322215108,3.1703937322215108,3,3,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 14:00:00+00:00,2018-04-25 07:00:00-07:00,2018,4,25,7,Wednesday,0,12.224048154592458,12.224048154592458,7,7,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 15:00:00+00:00,2018-04-25 08:00:00-07:00,2018,4,25,8,Wednesday,0,36.984349598459765,36.984349598459765,21,21,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 16:00:00+00:00,2018-04-25 09:00:00-07:00,2018,4,25,9,Wednesday,0,54.95230835011105,54.95230835011105,29,29,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 17:00:00+00:00,2018-04-25 10:00:00-07:00,2018,4,25,10,Wednesday,0,50.073783043113934,50.073783043113934,22,22,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 18:00:00+00:00,2018-04-25 11:00:00-07:00,2018,4,25,11,Wednesday,0,31.528775542826246,31.528775542826246,19,19,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 19:00:00+00:00,2018-04-25 12:00:00-07:00,2018,4,25,12,Wednesday,0,23.793739994005467,23.793739994005467,14,14,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 20:00:00+00:00,2018-04-25 13:00:00-07:00,2018,4,25,13,Wednesday,0,28.323036019459774,28.323036019459774,12,12,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 21:00:00+00:00,2018-04-25 14:00:00-07:00,2018,4,25,14,Wednesday,0,25.86176053092236,25.86176053092236,12,12,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 22:00:00+00:00,2018-04-25 15:00:00-07:00,2018,4,25,15,Wednesday,0,23.528778155331523,23.528778155331523,11,11,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
2018-04-25 23:00:00+00:00,2018-04-25 16:00:00-07:00,2018,4,25,16,Wednesday,0,17.16106230120493,17.16106230120493,8,8,1,0,ACN-Data,Caltech,2018-2020,America/Los_Angeles,Uniform observed delivered energy over connection-to-valid-doneCharging interval; disconnect fallback otherwise
