timestamp,month,day,hour,weekday,is_weekend,ev_energy_kwh,ev_power_kw,observation_count,source_year_count,exact_month_day_hour_available,construction_source,three_sigma_flag,source_dataset,source_site,source_observation_period,profile_type,representative_calendar_year,is_measured_2022_data,profile_method
2021-01-01 00:00:00,1,1,0,Friday,0,3.117175449871465,3.117175449871465,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 01:00:00,1,1,1,Friday,0,4.065481278620701,4.065481278620701,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 02:00:00,1,1,2,Friday,0,5.319615415330308,5.319615415330308,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 03:00:00,1,1,3,Friday,0,3.202533755625938,3.202533755625938,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 04:00:00,1,1,4,Friday,0,3.202533755625938,3.202533755625938,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 05:00:00,1,1,5,Friday,0,3.202533755625938,3.202533755625938,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 06:00:00,1,1,6,Friday,0,2.2515591487470137,2.2515591487470137,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 07:00:00,1,1,7,Friday,0,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 08:00:00,1,1,8,Friday,0,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 09:00:00,1,1,9,Friday,0,0.142578125,0.142578125,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 10:00:00,1,1,10,Friday,0,3.8381820916930245,3.8381820916930245,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 11:00:00,1,1,11,Friday,0,4.823051768272303,4.823051768272303,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 12:00:00,1,1,12,Friday,0,4.126474447195477,4.126474447195477,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 13:00:00,1,1,13,Friday,0,6.033249252116488,6.033249252116488,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 14:00:00,1,1,14,Friday,0,6.505887447767668,6.505887447767668,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 15:00:00,1,1,15,Friday,0,4.935928840112855,4.935928840112855,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 16:00:00,1,1,16,Friday,0,3.4116566848952363,3.4116566848952363,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 17:00:00,1,1,17,Friday,0,3.3418555697942742,3.3418555697942742,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 18:00:00,1,1,18,Friday,0,2.0959351864785587,2.0959351864785587,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 19:00:00,1,1,19,Friday,0,0.4122005866741165,0.4122005866741165,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 20:00:00,1,1,20,Friday,0,2.1476301322199025,2.1476301322199025,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 21:00:00,1,1,21,Friday,0,3.0753653444676408,3.0753653444676408,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 22:00:00,1,1,22,Friday,0,2.142504523312456,2.142504523312456,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-01 23:00:00,1,1,23,Friday,0,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 00:00:00,1,2,0,Saturday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 01:00:00,1,2,1,Saturday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 02:00:00,1,2,2,Saturday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 03:00:00,1,2,3,Saturday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 04:00:00,1,2,4,Saturday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 05:00:00,1,2,5,Saturday,1,0.35034032024648704,0.35034032024648704,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 06:00:00,1,2,6,Saturday,1,3.07615890948135,3.07615890948135,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 07:00:00,1,2,7,Saturday,1,3.2279698903841276,3.2279698903841276,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 08:00:00,1,2,8,Saturday,1,18.11222337689849,18.11222337689849,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 09:00:00,1,2,9,Saturday,1,32.115450504978256,32.115450504978256,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 10:00:00,1,2,10,Saturday,1,42.933635512723235,42.933635512723235,2,2,1,month_day_hour_mean,1,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 11:00:00,1,2,11,Saturday,1,40.9008077211418,40.9008077211418,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 12:00:00,1,2,12,Saturday,1,32.32090081125985,32.32090081125985,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 13:00:00,1,2,13,Saturday,1,29.637731966026422,29.637731966026422,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 14:00:00,1,2,14,Saturday,1,32.95599108113293,32.95599108113293,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 15:00:00,1,2,15,Saturday,1,29.86987996867879,29.86987996867879,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 16:00:00,1,2,16,Saturday,1,20.620540481212334,20.620540481212334,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 17:00:00,1,2,17,Saturday,1,10.940587038872728,10.940587038872728,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 18:00:00,1,2,18,Saturday,1,5.422660552145517,5.422660552145517,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 19:00:00,1,2,19,Saturday,1,7.81086021999258,7.81086021999258,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 20:00:00,1,2,20,Saturday,1,4.308547945871129,4.308547945871129,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 21:00:00,1,2,21,Saturday,1,0.5202136989539625,0.5202136989539625,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 22:00:00,1,2,22,Saturday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-02 23:00:00,1,2,23,Saturday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 00:00:00,1,3,0,Sunday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 01:00:00,1,3,1,Sunday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 02:00:00,1,3,2,Sunday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 03:00:00,1,3,3,Sunday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 04:00:00,1,3,4,Sunday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 05:00:00,1,3,5,Sunday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 06:00:00,1,3,6,Sunday,1,0.0,0.0,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 07:00:00,1,3,7,Sunday,1,0.05930465579762945,0.05930465579762945,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 08:00:00,1,3,8,Sunday,1,10.69732198323695,10.69732198323695,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 09:00:00,1,3,9,Sunday,1,28.442045963833543,28.442045963833543,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 10:00:00,1,3,10,Sunday,1,30.228172693847988,30.228172693847988,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 11:00:00,1,3,11,Sunday,1,26.089968261570874,26.089968261570874,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 12:00:00,1,3,12,Sunday,1,15.986788500979248,15.986788500979248,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 13:00:00,1,3,13,Sunday,1,15.922575030780033,15.922575030780033,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 14:00:00,1,3,14,Sunday,1,15.304932935650417,15.304932935650417,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 15:00:00,1,3,15,Sunday,1,6.24516426347357,6.24516426347357,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 16:00:00,1,3,16,Sunday,1,4.164118521946582,4.164118521946582,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 17:00:00,1,3,17,Sunday,1,6.18459019288064,6.18459019288064,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 18:00:00,1,3,18,Sunday,1,6.898537514005682,6.898537514005682,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 19:00:00,1,3,19,Sunday,1,8.418387523704634,8.418387523704634,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 20:00:00,1,3,20,Sunday,1,9.268748107008665,9.268748107008665,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
2021-01-03 21:00:00,1,3,21,Sunday,1,6.3071535918648625,6.3071535918648625,2,2,1,month_day_hour_mean,0,ACN-Data,Caltech,2018-2020,Representative annual profile,2021,0,Mean by local month-day-hour across available ACN 2018-2020 hourly observations; Feb 29 excluded
