source_dataset,source_market,source_location,source_pnode_id,source_period,source_file,source_price_unit_original,processed_price_unit,timestamp_utc,timestamp_ept,year,month,day,hour_utc,weekday_utc,pnode_id,pnode_name,type,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da_usd_per_kwh,total_lmp_da_usd_per_kwh,congestion_price_da_usd_per_kwh,marginal_loss_price_da_usd_per_kwh,row_is_current_bool,version_nbr,is_negative_lmp,missing_lmp,valid_hourly_record
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 05:00:00+00:00,2019-01-01 00:00:00,2019,1,1,5,Tuesday,1,PJM-RTO,ZONE,18.96,18.990535,-0.017594,0.048129,0.01896,0.018990535000000003,-1.7593999999999998e-05,4.8129e-05,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 06:00:00+00:00,2019-01-01 01:00:00,2019,1,1,6,Tuesday,1,PJM-RTO,ZONE,18.8,18.766137,-0.02554,-0.008323,0.0188,0.018766137000000002,-2.554e-05,-8.323e-06,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 07:00:00+00:00,2019-01-01 02:00:00,2019,1,1,7,Tuesday,1,PJM-RTO,ZONE,18.57,18.52799,-0.014702,-0.027308,0.01857,0.018527989999999998,-1.4702e-05,-2.7308e-05,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 08:00:00+00:00,2019-01-01 03:00:00,2019,1,1,8,Tuesday,1,PJM-RTO,ZONE,18.4,18.365254,-0.016699,-0.018047,0.0184,0.018365254,-1.6698999999999997e-05,-1.8047000000000002e-05,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 09:00:00+00:00,2019-01-01 04:00:00,2019,1,1,9,Tuesday,1,PJM-RTO,ZONE,18.57,18.535374,-0.010931,-0.023695,0.01857,0.018535374,-1.0931e-05,-2.3695e-05,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 10:00:00+00:00,2019-01-01 05:00:00,2019,1,1,10,Tuesday,1,PJM-RTO,ZONE,18.71,18.700615,-0.012476,0.003091,0.01871,0.018700615,-1.2475999999999999e-05,3.091e-06,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 11:00:00+00:00,2019-01-01 06:00:00,2019,1,1,11,Tuesday,1,PJM-RTO,ZONE,19.33,19.305736,-0.018116,-0.006147,0.01933,0.019305736,-1.8116e-05,-6.147e-06,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 12:00:00+00:00,2019-01-01 07:00:00,2019,1,1,12,Tuesday,1,PJM-RTO,ZONE,20.34,20.364944,0.039454,-0.014509,0.02034,0.020364944000000003,3.9454000000000005e-05,-1.4509e-05,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 13:00:00+00:00,2019-01-01 08:00:00,2019,1,1,13,Tuesday,1,PJM-RTO,ZONE,21.06,21.135015,0.074492,0.000523,0.02106,0.021135015,7.4492e-05,5.23e-07,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 14:00:00+00:00,2019-01-01 09:00:00,2019,1,1,14,Tuesday,1,PJM-RTO,ZONE,21.42,21.477902,0.04939,0.008512,0.02142,0.021477902,4.9390000000000007e-05,8.512e-06,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 15:00:00+00:00,2019-01-01 10:00:00,2019,1,1,15,Tuesday,1,PJM-RTO,ZONE,22.47,22.538783,0.056473,0.01231,0.02247,0.022538783,5.6473e-05,1.2309999999999999e-05,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 16:00:00+00:00,2019-01-01 11:00:00,2019,1,1,16,Tuesday,1,PJM-RTO,ZONE,22.18,22.233284,0.047724,0.005559,0.02218,0.022233284000000002,4.7724000000000006e-05,5.559e-06,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 17:00:00+00:00,2019-01-01 12:00:00,2019,1,1,17,Tuesday,1,PJM-RTO,ZONE,22.2,22.266994,0.036981,0.030014,0.0222,0.022266994000000002,3.6981e-05,3.0013999999999998e-05,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 18:00:00+00:00,2019-01-01 13:00:00,2019,1,1,18,Tuesday,1,PJM-RTO,ZONE,21.82,21.951721,0.077883,0.053838,0.02182,0.021951721,7.7883e-05,5.3837999999999995e-05,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 19:00:00+00:00,2019-01-01 14:00:00,2019,1,1,19,Tuesday,1,PJM-RTO,ZONE,21.66,21.774561,0.066151,0.048409,0.02166,0.021774560999999998,6.6151e-05,4.8409000000000004e-05,True,1,0,0,1
PJM,Day-Ahead,PJM-RTO,1,2019,price_pjm/zone/2019_da_hrl_lmps.csv,USD/MWh,USD/kWh,2019-01-01 20:00:00+00:00,2019-01-01 15:00:00,2019,1,1,20,Tuesday,1,PJM-RTO,ZONE,22.11,22.250908,0.056285,0.084623,0.022109999999999998,0.022250908,5.6285e-05,8.4623e-05,True,1,0,0,1
