timestamp,ghi_w_m2,dni_w_m2,dhi_w_m2,temperature_c,wind_speed_m_s
2022-01-01 00:00:00,0.0,0.0,0.0,4.2,2.9000000000000004
2022-01-01 01:00:00,0.0,0.0,0.0,3.8,2.8000000000000003
2022-01-01 02:00:00,0.0,0.0,0.0,3.5,2.8000000000000003
2022-01-01 03:00:00,0.0,0.0,0.0,3.3000000000000003,2.6
2022-01-01 04:00:00,0.0,0.0,0.0,3.1,2.6
2022-01-01 05:00:00,0.0,0.0,0.0,2.9000000000000004,2.6
2022-01-01 06:00:00,0.0,0.0,0.0,2.8000000000000003,2.5
2022-01-01 07:00:00,0.0,0.0,0.0,3.9,2.5
2022-01-01 08:00:00,158.0,691.0,38.0,7.2,3.4000000000000004
2022-01-01 09:00:00,335.0,858.0,52.0,9.4,4.3
2022-01-01 10:00:00,479.0,922.0,66.0,11.1,4.4
2022-01-01 11:00:00,570.0,958.0,71.0,12.5,3.8
2022-01-01 12:00:00,599.0,967.0,73.0,13.4,3.0
2022-01-01 13:00:00,545.0,756.0,156.0,13.8,2.2
2022-01-01 14:00:00,440.0,671.0,148.0,13.7,1.6
2022-01-01 15:00:00,305.0,780.0,61.0,12.8,0.6000000000000001
2022-01-01 16:00:00,127.0,559.0,41.0,9.9,0.3
2022-01-01 17:00:00,0.0,0.0,0.0,7.9,0.6000000000000001
2022-01-01 18:00:00,0.0,0.0,0.0,6.800000000000001,0.9
2022-01-01 19:00:00,0.0,0.0,0.0,6.1000000000000005,1.3
2022-01-01 20:00:00,0.0,0.0,0.0,5.5,1.8
2022-01-01 21:00:00,0.0,0.0,0.0,5.1000000000000005,2.2
2022-01-01 22:00:00,0.0,0.0,0.0,4.7,2.5
2022-01-01 23:00:00,0.0,0.0,0.0,4.4,2.7
2022-01-02 00:00:00,0.0,0.0,0.0,4.1000000000000005,2.7
2022-01-02 01:00:00,0.0,0.0,0.0,3.8,2.7
2022-01-02 02:00:00,0.0,0.0,0.0,3.6,2.7
2022-01-02 03:00:00,0.0,0.0,0.0,3.3000000000000003,2.7
2022-01-02 04:00:00,0.0,0.0,0.0,3.0,2.8000000000000003
2022-01-02 05:00:00,0.0,0.0,0.0,2.8000000000000003,2.8000000000000003
2022-01-02 06:00:00,0.0,0.0,0.0,2.6,2.9000000000000004
2022-01-02 07:00:00,0.0,0.0,0.0,3.8,3.1
2022-01-02 08:00:00,155.0,657.0,40.0,6.9,4.2
2022-01-02 09:00:00,334.0,844.0,56.0,9.4,4.0
2022-01-02 10:00:00,479.0,927.0,64.0,12.1,3.1
2022-01-02 11:00:00,571.0,965.0,68.0,13.9,2.1
2022-01-02 12:00:00,601.0,976.0,69.0,15.0,1.3
2022-01-02 13:00:00,564.0,961.0,68.0,15.6,0.6000000000000001
2022-01-02 14:00:00,466.0,919.0,64.0,15.5,0.7000000000000001
2022-01-02 15:00:00,315.0,827.0,55.0,14.4,1.0
2022-01-02 16:00:00,134.0,620.0,38.0,11.3,1.0
2022-01-02 17:00:00,0.0,0.0,0.0,8.700000000000001,1.1
2022-01-02 18:00:00,0.0,0.0,0.0,7.4,1.3
2022-01-02 19:00:00,0.0,0.0,0.0,6.6000000000000005,1.6
2022-01-02 20:00:00,0.0,0.0,0.0,6.0,1.9
2022-01-02 21:00:00,0.0,0.0,0.0,5.6000000000000005,2.1
2022-01-02 22:00:00,0.0,0.0,0.0,5.300000000000001,2.1
2022-01-02 23:00:00,0.0,0.0,0.0,5.2,1.9
2022-01-03 00:00:00,0.0,0.0,0.0,5.300000000000001,1.5
2022-01-03 01:00:00,0.0,0.0,0.0,5.4,1.4
2022-01-03 02:00:00,0.0,0.0,0.0,5.4,1.4
2022-01-03 03:00:00,0.0,0.0,0.0,5.4,1.3
2022-01-03 04:00:00,0.0,0.0,0.0,5.4,1.2000000000000002
2022-01-03 05:00:00,0.0,0.0,0.0,5.4,1.1
2022-01-03 06:00:00,0.0,0.0,0.0,5.5,1.0
2022-01-03 07:00:00,0.0,0.0,0.0,6.6000000000000005,0.7000000000000001
2022-01-03 08:00:00,150.0,617.0,43.0,9.8,0.5
2022-01-03 09:00:00,325.0,798.0,62.0,12.1,0.3
2022-01-03 10:00:00,473.0,906.0,67.0,13.9,1.5
2022-01-03 11:00:00,566.0,944.0,72.0,15.0,1.9
2022-01-03 12:00:00,595.0,954.0,74.0,15.5,2.4000000000000004
2022-01-03 13:00:00,559.0,938.0,74.0,15.5,2.7
2022-01-03 14:00:00,462.0,894.0,69.0,14.9,2.7
2022-01-03 15:00:00,310.0,791.0,60.0,13.4,2.4000000000000004
2022-01-03 16:00:00,107.0,154.0,83.0,10.1,1.7000000000000002
2022-01-03 17:00:00,0.0,0.0,0.0,8.8,1.4
2022-01-03 18:00:00,0.0,0.0,0.0,8.9,0.9
2022-01-03 19:00:00,0.0,0.0,0.0,8.9,0.6000000000000001
2022-01-03 20:00:00,0.0,0.0,0.0,8.5,0.5
2022-01-03 21:00:00,0.0,0.0,0.0,8.0,0.7000000000000001
2022-01-03 22:00:00,0.0,0.0,0.0,7.7,0.9
2022-01-03 23:00:00,0.0,0.0,0.0,7.6,0.9
2022-01-04 00:00:00,0.0,0.0,0.0,7.6,0.7000000000000001
2022-01-04 01:00:00,0.0,0.0,0.0,7.7,0.6000000000000001
2022-01-04 02:00:00,0.0,0.0,0.0,7.5,0.6000000000000001
2022-01-04 03:00:00,0.0,0.0,0.0,7.2,0.6000000000000001
2022-01-04 04:00:00,0.0,0.0,0.0,6.800000000000001,0.8
2022-01-04 05:00:00,0.0,0.0,0.0,6.5,0.9
2022-01-04 06:00:00,0.0,0.0,0.0,6.0,1.1
2022-01-04 07:00:00,0.0,0.0,0.0,6.4,1.1
2022-01-04 08:00:00,143.0,585.0,41.0,9.2,1.7000000000000002
2022-01-04 09:00:00,318.0,789.0,58.0,11.4,1.8
2022-01-04 10:00:00,462.0,884.0,64.0,13.7,1.7000000000000002
2022-01-04 11:00:00,552.0,923.0,69.0,15.4,1.8
2022-01-04 12:00:00,582.0,933.0,71.0,16.5,1.8
2022-01-04 13:00:00,547.0,920.0,69.0,17.1,2.1
2022-01-04 14:00:00,452.0,875.0,65.0,16.900000000000002,2.3000000000000003
2022-01-04 15:00:00,308.0,788.0,56.0,15.7,2.2
2022-01-04 16:00:00,133.0,585.0,39.0,12.5,1.8
2022-01-04 17:00:00,0.0,0.0,0.0,10.4,1.7000000000000002
2022-01-04 18:00:00,0.0,0.0,0.0,9.3,1.6
2022-01-04 19:00:00,0.0,0.0,0.0,8.6,1.7000000000000002
2022-01-04 20:00:00,0.0,0.0,0.0,8.200000000000001,1.7000000000000002
2022-01-04 21:00:00,0.0,0.0,0.0,8.0,1.9
2022-01-04 22:00:00,0.0,0.0,0.0,7.9,2.0
2022-01-04 23:00:00,0.0,0.0,0.0,7.7,2.1
2022-01-05 00:00:00,0.0,0.0,0.0,7.7,2.4000000000000004
2022-01-05 01:00:00,0.0,0.0,0.0,7.6,2.8000000000000003
2022-01-05 02:00:00,0.0,0.0,0.0,7.300000000000001,3.1
2022-01-05 03:00:00,0.0,0.0,0.0,7.0,3.4000000000000004
