mode,test_episode,steps,total_return,coordinator_return,sum_local_return,mean_local_return,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,power_balance_violation_steps,transformer_violation_steps,start_index
full_fc_hmarl,1,24,-18320.344765371865,-8272.415992455062,-10047.928772916803,-2009.5857545833605,-1842.0775202834002,-2123.276317927129,-1715.4959705834658,-1965.4876863573927,-2401.5912777654157,0,0,107
full_fc_hmarl,2,24,-19211.610190722935,-8718.015993332856,-10493.594197390075,-2098.718839478015,-1921.6443233361497,-2218.8934670902386,-1787.5071768090934,-2051.3532878589463,-2514.1959422956475,0,0,110
full_fc_hmarl,3,24,-20372.807890226235,-9298.57957673832,-11074.228313487913,-2214.8456626975826,-2027.641986893167,-2341.4883167247262,-1885.8653900826528,-2164.991510757933,-2654.241109029433,0,0,117
full_fc_hmarl,4,24,-18561.82031572326,-8392.615300004238,-10169.205015719024,-2033.8410031438048,-1872.0230726216644,-2143.053350011332,-1747.65146408981,-1993.6141949340963,-2412.86293406212,0,0,160
full_fc_hmarl,5,24,-11605.091518653357,-4880.983619281025,-6724.107899372332,-1344.8215798744664,-1248.9932598915423,-1409.9222028268136,-1170.168082758687,-1324.8635585756872,-1570.160795319602,0,0,230
full_fc_hmarl,6,24,-13583.636394684003,-5904.171394884642,-7679.464999799363,-1535.8929999598727,-1418.2871376194507,-1615.9235133164846,-1326.7564971986337,-1506.840123399176,-1811.6577282656172,0,0,251
full_fc_hmarl,7,24,-14736.917534167538,-6481.0270616143225,-8255.890472553216,-1651.1780945106432,-1523.851741650361,-1737.165914059318,-1422.9091021850204,-1621.9359267703933,-1950.0277878881234,0,0,467
full_fc_hmarl,8,24,-15377.641348932606,-6801.968181890343,-8575.673167042265,-1715.134633408453,-1580.2961792107933,-1806.7963395129336,-1470.851220236406,-1685.5110357008766,-2032.2183923812547,0,0,509
full_fc_hmarl,9,24,-13780.713318319766,-6003.359249307798,-7777.354069011968,-1555.4708138023936,-1433.5629148309831,-1637.8193323972157,-1338.818396230783,-1527.2102299913995,-1839.943195561586,0,0,538
full_fc_hmarl,10,24,-13791.788594503014,-6008.798636160187,-7782.989958342823,-1556.5979916685646,-1435.6141706605001,-1638.6187188919362,-1340.3026466855313,-1528.7542017070991,-1839.7002203977568,0,0,545
