test_episode,start_index,load_kwh,pv_kwh,ev_kwh,bess_net_kwh,bess_throughput_kwh,grid_import_kwh,grid_export_kwh,grid_purchase_cost_usd,grid_sale_revenue_usd,reserve_revenue_usd,market_profit_usd,sharing_scheduled_kwh,sharing_received_kwh,sharing_loss_kwh,power_balance_violation_kw_sum,transformer_violation_kw_sum,total_return,coordinator_return,bess_degradation_cost_usd,risk_cost_usd,net_market_cost_usd,operating_cost_usd,peak_grid_import_kw,peak_grid_export_kw,mean_absolute_grid_exchange_kw,grid_peak_to_average_ratio,renewable_fraction_of_load_plus_ev,mean_confidence,mean_local_return_per_mg
1,107,46324.43187011335,11617.312117362499,15001.891477588764,2121.903904727754,2121.903904727754,47587.60766684763,0.0,10005.490694822247,0.0,1736.8837781995535,-8268.606916622695,25.017061787823867,24.516720552067394,0.5003412357564774,0.0,0.0,-18320.344765371865,-8272.415992455062,42.438078094555074,3.8090758323669434,8268.606916622693,8314.854070549616,2910.915811351243,0.0,1982.8169861186514,1.4680708465430983,0.18943434863192068,0.8412885069847107,-2009.5857545833605
2,110,45418.44538695164,11617.312117362499,15526.499959299726,2121.89173284195,2121.89173284195,47206.239172869326,0.0,10451.156362733238,0.0,1736.949445232749,-8714.206917500489,24.88384112003139,24.38616429763076,0.4976768224006278,0.0,0.0,-19211.610190722935,-8718.015993332856,42.43783465683901,3.8090758323669434,8714.206917500489,8760.453827989695,2910.915811351243,0.0,1966.9266322028882,1.4799310577696132,0.19061978071126554,0.8412885069847107,-2098.718839478015
3,117,43151.88469202337,11617.312117362499,15754.48437328808,2121.9461733848298,2121.9461733848298,45167.63080583538,0.0,11031.789390020214,0.0,1737.0188891142607,-9294.770500905954,26.001563563316065,25.481532292049746,0.5200312712663213,0.0,0.0,-20372.807890226235,-9298.57957673832,42.4389234676966,3.8090758323669434,9294.770500905954,9341.018500206017,2596.438078203302,0.0,1881.9846169098073,1.3796276839215709,0.19721657100409634,0.8412885069847107,-2214.8456626975826
4,160,42370.30982041001,11331.39003832698,11480.763024852378,2122.0583824083533,2122.0583824083533,40397.90714226603,0.0,10126.763848070854,0.0,1737.957623898983,-8388.80622417187,14.135886947759671,13.853169208804479,0.28271773895519353,0.0,0.0,-18561.82031572326,-8392.615300004238,42.44116764816707,3.8090758323669434,8388.80622417187,8435.056467652405,2693.2596001765846,0.0,1683.2461309277508,1.6000390856042825,0.21042087816684737,0.8412885069847107,-2033.8410031438048
5,230,42986.642599785504,11258.030156345367,4573.8652696183135,2121.8139736995868,2121.8139736995868,34696.17017126538,515.1120217394384,6681.67161989834,67.73489850549834,1736.7621779441833,-4877.174543448658,19.720508353938747,19.326098186859976,0.39441016707877496,0.0,0.0,-11605.091518653357,-4880.983619281025,42.43627947399174,3.8090758323669434,4877.174543448658,4923.419898755017,3130.0602026689803,380.83832673878044,1466.5847379756458,2.1342511766414947,0.23670962865364562,0.8412885069847107,-1344.8215798744664
6,251,41413.18753817373,10669.119867687226,9367.021103238292,2121.7971923140512,2121.7971923140512,37989.70143748926,0.0,7637.029055953081,0.0,1736.6667369008064,-5900.362319052275,20.492803925759254,20.082947847244064,0.409856078515185,0.0,0.0,-13583.636394684003,-5904.171394884642,42.43594384628103,3.8090758323669434,5900.362319052275,5946.6073387309225,3166.499500422312,0.0,1582.9042265620526,2.00043656924191,0.2101038997895412,0.8412885069847107,-1535.8929999598727
7,467,51664.69720545632,10211.599829936029,9871.919285562959,2121.8792686420647,2121.8792686420647,49203.50034110128,0.0,8213.452887180376,0.0,1736.2349013984203,-6477.217985781956,18.147433004507075,17.784484344416935,0.3629486600901415,0.0,0.0,-14736.917534167538,-6481.0270616143225,42.4375853728413,3.8090758323669434,6477.217985781956,6523.464646987164,3216.88436397938,0.0,2050.145847545887,1.569100251004156,0.165943472557129,0.8412885069847107,-1651.1780945106432
8,509,48452.090563356425,4421.423979983688,8344.679508546273,2121.459522606715,2121.459522606715,50254.24825533153,0.0,8533.243976590133,0.0,1735.084870532155,-6798.159106057976,18.084300962007525,17.722614942767375,0.36168601924015054,0.0,0.0,-15377.641348932606,-6801.968181890343,42.4291904521343,3.8090758323669434,6798.159106057978,6844.397372342479,3510.6862350687397,0.0,2093.9270106388144,1.67660392040012,0.07784639820867141,0.8412885069847107,-1715.134633408453
9,538,47183.75755640788,9785.02000299573,10156.7183996014,2121.711257272711,2121.711257272711,45434.147760110434,0.0,7734.9198438665135,0.0,1735.3696703910828,-5999.550173475431,20.15321847885891,19.750154109281734,0.4030643695771782,0.0,0.0,-13780.713318319766,-6003.359249307798,42.43422514545422,3.8090758323669434,5999.550173475431,6045.793474453252,3778.8316237172266,0.0,1893.0894900046012,1.9961188542164703,0.17064769414370828,0.8412885069847107,-1555.4708138023936
10,545,47703.60194989907,9785.02000299573,9738.777332422,2121.6884868850602,2121.6884868850602,45536.07067631658,0.0,7740.556188605124,0.0,1735.5666282773018,-6004.98956032782,19.99419381486932,19.594309938571932,0.3998838762973866,0.0,0.0,-13791.788594503014,-6008.798636160187,42.433769737701205,3.8090758323669434,6004.989560327822,6051.23240589789,3778.831183613836,0.0,1897.3362781798578,1.991650730064005,0.17034496351385026,0.8412885069847107,-1556.5979916685646
