mode,test_episode,start_index,total_return,coordinator_return,mean_local_return_per_mg,load_kwh,pv_kwh,ev_kwh,grid_import_kwh,grid_export_kwh,grid_purchase_cost_usd,grid_sale_revenue_usd,reserve_revenue_usd,market_profit_usd,net_market_cost_usd,bess_throughput_kwh,bess_degradation_cost_usd,sharing_scheduled_kwh,sharing_received_kwh,sharing_loss_kwh,peak_grid_import_kw,peak_grid_export_kw,mean_absolute_grid_exchange_kw,power_balance_violation_steps,transformer_violation_steps
full_fc_hmarl,1,107,-18320.344765371865,-8272.415992455062,-2009.5857545833605,46324.43187011335,11617.312117362499,15001.891477588764,47587.60766684763,0.0,10005.490694822247,0.0,1736.8837781995535,-8268.606916622695,8268.606916622693,2121.903904727754,42.438078094555074,25.017061787823867,24.516720552067394,0.5003412357564774,2910.915811351243,0.0,1982.8169861186514,0,0
full_fc_hmarl,2,110,-19211.610190722935,-8718.015993332856,-2098.718839478015,45418.44538695164,11617.312117362499,15526.499959299726,47206.239172869326,0.0,10451.156362733238,0.0,1736.949445232749,-8714.206917500489,8714.206917500489,2121.8917328419498,42.437834656838994,24.88384112003139,24.38616429763076,0.4976768224006278,2910.915811351243,0.0,1966.9266322028882,0,0
full_fc_hmarl,3,117,-20372.807890226235,-9298.57957673832,-2214.8456626975826,43151.88469202337,11617.312117362499,15754.48437328808,45167.63080583538,0.0,11031.789390020214,0.0,1737.0188891142607,-9294.770500905954,9294.770500905954,2121.9461733848298,42.4389234676966,26.001563563316065,25.481532292049746,0.5200312712663213,2596.438078203302,0.0,1881.9846169098073,0,0
full_fc_hmarl,4,160,-18561.82031572326,-8392.615300004238,-2033.8410031438048,42370.30982041001,11331.39003832698,11480.763024852378,40397.90714226603,0.0,10126.763848070854,0.0,1737.957623898983,-8388.80622417187,8388.80622417187,2122.058382408353,42.44116764816706,14.135886947759671,13.853169208804479,0.28271773895519353,2693.2596001765846,0.0,1683.2461309277508,0,0
full_fc_hmarl,5,230,-11605.091518653357,-4880.983619281025,-1344.8215798744664,42986.642599785504,11258.030156345367,4573.8652696183135,34696.17017126538,515.1120217394384,6681.67161989834,67.73489850549834,1736.7621779441833,-4877.174543448658,4877.174543448658,2121.8139736995868,42.43627947399174,19.720508353938747,19.326098186859976,0.39441016707877496,3130.0602026689803,380.83832673878044,1466.5847379756458,0,0
full_fc_hmarl,6,251,-13583.636394684003,-5904.171394884642,-1535.8929999598727,41413.18753817373,10669.119867687226,9367.021103238292,37989.70143748926,0.0,7637.029055953081,0.0,1736.6667369008064,-5900.362319052275,5900.362319052275,2121.797192314051,42.43594384628101,20.492803925759254,20.082947847244064,0.409856078515185,3166.499500422312,0.0,1582.9042265620526,0,0
full_fc_hmarl,7,467,-14736.917534167538,-6481.0270616143225,-1651.1780945106432,51664.69720545632,10211.599829936029,9871.919285562959,49203.50034110128,0.0,8213.452887180376,0.0,1736.2349013984203,-6477.217985781956,6477.217985781956,2121.8792686420643,42.43758537284128,18.147433004507075,17.784484344416935,0.3629486600901415,3216.88436397938,0.0,2050.145847545887,0,0
full_fc_hmarl,8,509,-15377.641348932606,-6801.968181890343,-1715.134633408453,48452.090563356425,4421.423979983688,8344.679508546273,50254.24825533153,0.0,8533.243976590133,0.0,1735.084870532155,-6798.159106057976,6798.159106057978,2121.459522606715,42.4291904521343,18.084300962007525,17.722614942767375,0.36168601924015054,3510.6862350687397,0.0,2093.9270106388144,0,0
full_fc_hmarl,9,538,-13780.713318319766,-6003.359249307798,-1555.4708138023936,47183.75755640788,9785.02000299573,10156.7183996014,45434.147760110434,0.0,7734.9198438665135,0.0,1735.3696703910828,-5999.550173475431,5999.550173475431,2121.711257272711,42.43422514545422,20.15321847885891,19.750154109281734,0.4030643695771782,3778.8316237172266,0.0,1893.0894900046012,0,0
full_fc_hmarl,10,545,-13791.788594503014,-6008.798636160187,-1556.5979916685646,47703.60194989907,9785.02000299573,9738.777332422,45536.07067631658,0.0,7740.556188605124,0.0,1735.5666282773018,-6004.98956032782,6004.989560327822,2121.6884868850607,42.43376973770121,19.99419381486932,19.594309938571932,0.3998838762973866,3778.831183613836,0.0,1897.3362781798578,0,0
full_fc_hmarl,11,562,-15555.575160447626,-6890.678235064413,-1732.9793850766425,50752.380008593405,1719.8159656968128,5301.805700184834,52213.11601811437,0.0,8622.464319135215,0.0,1735.5951599031687,-6886.869159232046,6886.8691592320465,2121.6303123999655,42.43260624799931,18.829371645782995,18.452784212867336,0.3765874329156599,3509.7473204345865,0.0,2175.546500754766,0,0
full_fc_hmarl,12,566,-16209.24787037991,-7217.464278387792,-1798.3567183984237,50440.88248498765,1624.0979691047683,7072.831169170739,53768.321272032445,0.0,8949.350096750028,0.0,1735.694894194603,-7213.655202555425,7213.655202555425,2121.674762104489,42.43349524208978,19.017454166653014,18.637105083319952,0.3803490833330603,3509.7473204345865,0.0,2240.346719668019,0,0
full_fc_hmarl,13,629,-17646.814814686284,-7932.477941752691,-1942.8673745867186,47775.91454607086,8152.326017512919,15160.458988938666,52711.80594034437,49.09962198187517,9671.903717903333,6.4632016686817035,1736.771650314331,-7928.668865920324,7928.668865920321,2121.6577515128724,42.43315503025745,15.827618937787724,15.51106655903197,0.3165523787557545,3134.4980810236025,36.6446304144653,2197.333149132976,0,0
full_fc_hmarl,14,644,-18320.420692861833,-8272.834789976618,-2009.517180577043,48216.926822592206,2861.474054897786,12169.232265904007,55403.180028190945,0.0,10005.147381395242,0.0,1736.1216672509909,-8269.02571414425,8269.02571414425,2121.9260744986836,42.438521489973674,21.053454559969875,20.632385468770472,0.4210690911993975,3150.9754921677786,0.0,2308.4658345079556,0,0
full_fc_hmarl,15,657,-16998.699009859884,-7612.160307841324,-1877.3077404037122,48540.25069037997,8311.869929041266,12158.134116276273,50265.15176850459,0.0,9344.101843358898,0.0,1735.7506113499403,-7608.351232008957,7608.351232008958,2121.842932983169,42.43685865966338,23.991193639759878,23.511369766964684,0.47982387279519756,3150.9754921677786,0.0,2094.3813236876917,0,0
full_fc_hmarl,16,691,-16404.2392080315,-7314.743285549972,-1817.8991844963064,48117.8693814694,7215.585996542812,10950.690264842577,49731.37722368278,0.0,9047.055952591989,0.0,1736.121742874384,-7310.934209717605,7310.934209717605,2121.9984944770167,42.439969889540336,20.10341953162819,19.701351140995634,0.40206839063256394,3084.0271383754166,0.0,2072.1407176534485,0,0
full_fc_hmarl,17,812,-22681.638947608346,-10453.308417488513,-2445.6661060239667,48246.36154888523,2713.633992929369,15328.796421561025,58740.022301265824,0.0,12185.891688798247,0.0,1736.3923471421003,-10449.499341656146,10449.499341656146,2121.942066079396,42.43884132158792,22.01949141716023,21.579101588817018,0.4403898283432046,3303.4638742666302,0.0,2447.5009292194095,0,0
full_fc_hmarl,18,813,-22859.61018005184,-10542.282671929224,-2463.4655016245233,48301.041754303405,2713.633992929369,15434.164230515458,58900.08213724277,0.0,12274.889025659188,0.0,1736.4154295623302,-10538.473596096857,10538.473596096857,2121.9241231713754,42.43848246342751,21.713426233271772,21.279157708606334,0.4342685246654354,3303.4638742666302,0.0,2454.1700890517823,0,0
full_fc_hmarl,19,868,-14920.196412068311,-6572.58452759962,-1669.5223768937383,46437.90950218981,9488.93387750721,11789.57205046099,46617.67338638227,0.0,8305.184732067395,0.0,1736.4092803001404,-6568.775451767253,6568.775451767255,2121.3576200649077,42.42715240129815,24.16656517842586,23.683233874857336,0.48333130356851717,3419.9206815332104,0.0,1942.4030577659275,0,0
full_fc_hmarl,20,898,-13681.74702126372,-5953.699365619105,-1545.6095311289232,44700.437441520866,6226.513953514457,9441.629441858406,45794.11664598194,0.0,7685.611727792303,0.0,1735.7214380055666,-5949.890289786738,5949.8902897867365,2121.796392615514,42.43592785231028,18.005436632090785,17.64532789944897,0.36010873264181564,3118.701989230131,0.0,1908.088193582581,0,0
full_fc_hmarl,21,920,-17221.248215994518,-7723.474951735525,-1899.5546528517982,50684.37578943014,5902.413923171222,8727.816798565887,51388.69375601604,0.0,9455.344603976993,0.0,1735.6787280738354,-7719.665875903158,7719.665875903158,2121.4330140998077,42.42866028199615,17.405264551292856,17.057159260267,0.3481052910258572,3445.6753426191253,0.0,2141.1955731673347,0,0
full_fc_hmarl,22,952,-17718.544937162875,-7971.634232614966,-1949.3821409095822,49989.30536187412,7137.144050800563,13127.636116778696,53858.24404809271,0.0,9704.472856034366,0.0,1736.647699251771,-7967.825156782599,7967.8251567825955,2121.8924256771024,42.43784851354205,16.95229587785382,16.61324996029675,0.33904591755707647,3327.395395980094,0.0,2244.0935020038633,0,0
full_fc_hmarl,23,959,-17324.535927729357,-7774.681037768106,-1909.97097799225,49141.63926408102,7137.144050800563,12166.852403600791,52049.78156351378,0.0,9507.416130601743,0.0,1736.5441686660051,-7770.871961935739,7770.871961935738,2121.9379679753306,42.43875935950661,18.595730392791193,18.22381578493537,0.37191460785582386,3255.352704621001,0.0,2168.7408984797407,0,0
full_fc_hmarl,24,985,-22921.811161473095,-10573.165620024942,-2469.7291082896304,53976.004008005526,9329.179941637516,12038.863943023636,54564.13287190273,0.0,12306.206935744427,0.0,1736.8503915518522,-10569.356544192575,10569.356544192575,2121.930285186217,42.43860570372434,18.757384865486962,18.382237168177223,0.3751476973097392,3987.6888094652986,0.0,2273.505536329281,0,0
full_fc_hmarl,25,987,-23660.448169298557,-10942.466853646267,-2543.5962631304583,54058.9050679668,9526.9579686625,12200.856866388433,54611.784128844854,0.0,12675.55227941059,0.0,1736.8945015966892,-10938.6577778139,10938.6577778139,2121.4518120850653,42.429036241701304,21.598761859561556,21.166786622370324,0.4319752371912311,3987.6888094652986,0.0,2275.4910053685358,0,0
full_fc_hmarl,26,1041,-16679.665875284554,-7441.280417431524,-1847.677091570606,51224.707122989465,9330.747904809237,6126.6881868520195,46056.957907080556,157.7190790386587,9195.95061600125,21.447477454970844,1737.0317969471216,-7437.471341599157,7437.471341599157,2121.7420925889355,42.434841851778714,16.675779929210876,16.34226433062666,0.33351559858421753,3644.17244337218,157.7190790386587,1925.6115410883006,0,0
full_fc_hmarl,27,1055,-15184.838578339537,-6704.815234176457,-1696.0046688326154,49929.009352280475,9350.459881939889,6184.883911752005,44641.88889747595,0.0,8437.584353215636,0.0,1736.5781948715448,-6701.00615834409,6701.006158344091,2121.9495473720885,42.43899094744177,20.253137771947163,19.84807501650822,0.4050627554389433,3891.2750038432678,0.0,1860.0787040614978,0,0
full_fc_hmarl,28,1068,-15380.830528852983,-6802.949341812084,-1715.5762374081794,52057.5486668758,6453.453937371732,4459.888047511584,47942.63538590417,0.0,8535.444243946025,0.0,1736.3039779663086,-6799.140265979717,6799.140265979717,2121.8471547436725,42.43694309487345,24.988181608871507,24.48841797669408,0.49976363217743014,3891.2750038432678,0.0,1997.6098077460072,0,0
full_fc_hmarl,29,1169,-12358.11776990282,-5292.559169165704,-1413.1117201474228,50529.69776089393,7007.8120247786055,2276.7348900346487,43677.60395995796,0.0,7023.12467438719,0.0,1734.374581053853,-5288.750093333337,5288.750093333337,2121.6963174961315,42.43392634992263,33.98256520626704,33.30291390214168,0.6796513041253409,3197.538326322262,0.0,1819.9001649982486,0,0
full_fc_hmarl,30,1219,-11447.092798935306,-4836.956456344174,-1322.0272685182267,46044.58126044416,7658.602148930312,5314.426817063229,41579.19102670491,0.0,6567.700670446799,0.0,1734.5532899349928,-4833.147380511807,4833.147380511807,2121.783607216688,42.43567214433376,28.435267225032756,27.866561880532103,0.5687053445006551,2587.3076679372875,0.0,1732.4662927793713,0,0
passive_grid_only,1,107,-20994.024265359432,-10498.9166705959,-2099.0215189527066,46324.43187011335,11617.312117362499,15001.891477588764,49709.01123033962,0.0,10495.107594763533,0.0,0.0,-10495.107594763533,10495.107594763533,0.0,0.0,0.0,0.0,0.0,2910.8988660215728,0.0,2071.208801264151,0,0
passive_grid_only,2,110,-21783.60604962067,-10893.707562726519,-2177.97969737883,45418.44538695164,11617.312117362499,15526.499959299726,49327.633228888866,0.0,10889.898486894152,0.0,0.0,-10889.898486894152,10889.898486894152,0.0,0.0,0.0,0.0,0.0,2910.8988660215728,0.0,2055.318051203703,0,0
passive_grid_only,3,117,-22805.677342076437,-11404.743208954402,-2280.1868266244064,43151.88469202337,11617.312117362499,15754.48437328808,47289.05694794894,0.0,11400.934133122035,0.0,0.0,-11400.934133122035,11400.934133122035,0.0,0.0,0.0,0.0,0.0,2910.8988660215728,0.0,1970.377372831206,0,0
passive_grid_only,4,160,-21314.158771590053,-10658.98392371121,-2131.0349695757686,42370.30982041001,11331.39003832698,11480.763024852378,42519.682806935416,0.0,10655.174847878843,0.0,0.0,-10655.174847878843,10655.174847878843,0.0,0.0,0.0,0.0,0.0,2693.2548155974546,0.0,1771.6534502889756,0,0
passive_grid_only,5,230,-14208.588308002667,-7072.306986207907,-1427.256264358952,42986.642599785504,11258.030156345367,4573.8652696183135,36817.944298225964,515.4665851675159,7136.2813217947605,67.78341141921902,0.0,-7068.49791037554,7068.497910375541,0.0,0.0,0.0,0.0,0.0,3130.035411009528,380.8476685086187,1554.978350728771,0,0
passive_grid_only,6,251,-16218.611655939269,-8111.210365885818,-1621.4802580106905,41413.18753817373,10669.119867687226,9367.021103238292,40111.0887737248,0.0,8107.401290053451,0.0,0.0,-8107.401290053451,8107.401290053451,0.0,0.0,0.0,0.0,0.0,3166.4857778255155,0.0,1671.2953655718666,0,0
passive_grid_only,7,467,-17266.765148248185,-8635.287112040276,-1726.2956072415818,51664.69720545632,10211.599829936029,9871.919285562959,51325.01666108327,0.0,8631.47803620791,0.0,0.0,-8631.47803620791,8631.47803620791,0.0,0.0,0.0,0.0,0.0,3216.868602044544,0.0,2138.542360878469,0,0
passive_grid_only,8,509,-17817.4088913547,-8910.60898359353,-1781.3599815522334,48452.090563356425,4421.423979983688,8344.679508546273,52375.346091919004,0.0,8906.799907761164,0.0,0.0,-8906.799907761164,8906.799907761164,0.0,0.0,0.0,0.0,0.0,3510.6689445871484,0.0,2182.306087163292,0,0
passive_grid_only,9,538,-16235.676135095837,-8119.742605464102,-1623.1867059263468,47183.75755640788,9785.02000299573,10156.7183996014,47555.45595301356,0.0,8115.933529631735,0.0,0.0,-8115.933529631735,8115.933529631735,0.0,0.0,0.0,0.0,0.0,3778.819616006969,0.0,1981.477331375565,0,0
passive_grid_only,10,545,-16183.481723653698,-8093.645399743033,-1617.967264782133,47703.60194989907,9785.02000299573,9738.777332422,47657.35927932535,0.0,8089.836323910666,0.0,0.0,-8089.836323910666,8089.836323910666,0.0,0.0,0.0,0.0,0.0,3778.819616006969,0.0,1985.7233033052228,0,0
passive_grid_only,11,562,-18011.53619836782,-9007.672637100093,-1800.7727122535457,50752.380008593405,1719.8159656968128,5301.805700184834,54334.36974308143,0.0,9003.863561267726,0.0,0.0,-9003.863561267726,9003.863561267726,0.0,0.0,0.0,0.0,0.0,3509.7276651159277,0.0,2263.9320726283927,0,0
passive_grid_only,12,566,-18639.11567376541,-9321.462374798888,-1863.5306597933043,50440.88248498765,1624.0979691047683,7072.831169170739,55889.615685053606,0.0,9317.653298966521,0.0,0.0,-9317.653298966521,9317.653298966521,0.0,0.0,0.0,0.0,0.0,3509.7276651159277,0.0,2328.7339868772337,0,0
passive_grid_only,13,629,-20108.409849588872,-10056.10946271062,-2010.4600773756506,47775.91454607086,8152.326017512919,15160.458988938666,54784.0475174966,0.0,10052.300386878253,0.0,0.0,-10052.300386878253,10052.300386878253,0.0,0.0,0.0,0.0,0.0,3134.4938194971337,0.0,2282.668646562359,0,0
passive_grid_only,14,644,-20707.875296247596,-10355.842186039981,-2070.406622041523,48216.926822592206,2861.474054897786,12169.232265904007,57524.68503359842,0.0,10352.033110207614,0.0,0.0,-10352.033110207614,10352.033110207614,0.0,0.0,0.0,0.0,0.0,3150.9577283835624,0.0,2396.8618763999343,0,0
passive_grid_only,15,657,-19436.376218320544,-9720.092647076455,-1943.256714248818,48540.25069037997,8311.869929041266,12158.134116276273,52386.51487761496,0.0,9716.283571244088,0.0,0.0,-9716.283571244088,9716.283571244088,0.0,0.0,0.0,0.0,0.0,3150.9577283835624,0.0,2182.771453233957,0,0
