test_episode,start_index,return_delta_fc_minus_passive,grid_import_reduction_kwh,net_market_cost_reduction_usd,peak_import_reduction_kw
1,107,2673.6794999875674,2121.403563491993,2226.500678140839,-0.01694532967030682
2,110,2571.995858897735,2121.3940560195406,2175.6915693936626,-0.01694532967030682
3,117,2432.8694518502016,2121.4261421135598,2106.163632216081,314.46078781827055
4,160,2752.338455866793,2121.775664669389,2266.3686237069724,-0.0047845791300460405
5,230,2603.4967893493103,2121.774126960583,2191.323366926883,-0.02479165945214845
6,251,2634.9752612552657,2121.387336235537,2207.038971001176,-0.013722596796469588
7,467,2529.847614080647,2121.516319981987,2154.2600504259535,-0.01576193483606403
8,509,2439.7675424220924,2121.097836587476,2108.6408017031863,-0.017290481591317075
9,538,2454.962816776071,2121.308192903125,2116.383356156304,-0.012007710257421422
10,545,2391.6931291506844,2121.2886030087684,2084.846763582844,-0.01156760686671987
11,562,2455.961037920193,2121.2537249670568,2116.9944020356797,-0.01965531865880621
12,566,2429.8678033854994,2121.2944130211617,2103.9980964110964,-0.01965531865880621
13,629,2461.595034902588,2072.2415771522283,2123.6315209579316,-0.004261526468781085
14,644,2387.4546033857623,2121.5050054074745,2083.0073960633636,-0.01776378421618574
15,657,2437.67720846066,2121.363109110367,2107.9323392351307,-0.01776378421618574
16,691,2371.6013526883435,2121.5964260863693,2075.0815327261334,43.369438658784475
17,812,2384.283050858354,2121.5016762510713,2081.55711966102,-0.02543361123298382
18,813,2393.457730371978,2121.489854646723,2086.1558211988686,-0.02543361123298382
19,868,2533.5976481384314,2120.874288761326,2156.2170404199333,-0.018693081998208072
20,898,2446.989395562501,2121.4362838828747,2112.5733807101897,-0.009786678077944089
21,920,2399.023984429481,2121.084908808778,2088.565686392658,-0.018293623717909213
22,952,2435.2475368904925,2121.553379759549,2107.1665423279046,-0.011133942667584051
23,959,2437.3570379063785,2121.5660533674672,2108.1699829659465,-0.007520411361383594
24,985,2679.9378505736568,2121.5551374889183,2229.6134239146177,-0.022353639545599435
25,987,2550.569301418618,2121.019836847874,2164.9464196285044,-0.022353639545599435
26,1041,2472.4950575116272,1963.6894979516728,2136.70458688275,-0.02187473031517584
27,1055,2527.0303460728956,2121.54448461665,2153.02376594594,-0.015612784006862057
28,1068,2568.9821647959125,2121.347391111507,2173.8615429285474,-0.015612784006862057
29,1169,2316.205649553849,2121.0166661920157,2046.507078478814,-0.026867341931847477
30,1219,2343.9749521225312,2121.2149018721902,2060.4819571009284,369.432606992249
