agent,episode,step,reward,action_0,action_1,action_2,done,action_3,action_4
coordinator,87,1,-523.9476318359375,0.7722119688987732,1.0,1.0,False,,
coordinator,87,2,-470.7466125488281,-0.9965204000473022,-0.8278530240058899,-1.0,False,,
coordinator,87,3,-532.5103149414062,-0.4954620897769928,-0.9422803521156311,-0.9303021430969238,False,,
coordinator,87,4,-526.1864013671875,-0.3905906677246094,-0.7437646389007568,-0.8084443211555481,False,,
coordinator,87,5,-550.0552368164062,-1.0,-0.948103129863739,-1.0,False,,
coordinator,87,6,-572.4088134765625,-1.0,-1.0,-0.5482980012893677,False,,
coordinator,87,7,-638.8711547851562,-0.9681339263916016,-0.9445042610168457,-0.7950459718704224,False,,
coordinator,87,8,-623.5138549804688,-1.0,-0.9873073101043701,-0.8927484154701233,False,,
coordinator,87,9,-461.0584716796875,-1.0,-1.0,0.5586978197097778,False,,
coordinator,87,10,-435.49560546875,-0.9839825630187988,-0.7341287732124329,-0.5978882312774658,False,,
coordinator,87,11,-540.4468383789062,0.2947334051132202,-0.93385249376297,-0.6428226828575134,False,,
coordinator,87,12,-484.228515625,0.20556730031967163,-0.7996349930763245,-0.6221662163734436,False,,
coordinator,87,13,-534.6204223632812,-1.0,-0.6248701214790344,-0.7972034215927124,False,,
coordinator,87,14,-474.5425109863281,-0.506626307964325,-0.8188690543174744,-0.6072847843170166,False,,
coordinator,87,15,-771.3151245117188,-0.7568140625953674,-0.8688103556632996,-0.7657948732376099,False,,
coordinator,87,16,-851.8939819335938,-1.0,-0.9926539659500122,-0.8893840312957764,False,,
coordinator,87,17,-913.76904296875,-0.7604150176048279,-0.9578776955604553,-1.0,False,,
coordinator,87,18,-756.9749145507812,-0.9182034730911255,-0.915386974811554,-0.2008851170539856,False,,
coordinator,87,19,-703.8972778320312,-1.0,-1.0,0.9815577268600464,False,,
coordinator,87,20,-867.4400634765625,-1.0,-1.0,-1.0,False,,
coordinator,87,21,-785.0244750976562,-1.0,-1.0,-0.18110786378383636,False,,
coordinator,87,22,-617.4241943359375,-0.7251284122467041,-0.8271535038948059,-0.9152266383171082,False,,
coordinator,87,23,-581.1531372070312,-0.8602262139320374,-0.8992691040039062,-0.1297050267457962,False,,
coordinator,87,24,-631.3119506835938,-0.7430558204650879,-1.0,-0.7960677146911621,True,,
local_1,87,1,-90.11312866210938,0.949128270149231,-1.0,-0.8250505328178406,False,1.0,-0.7563296556472778
local_1,87,2,-98.25989532470703,0.7523506879806519,-0.7019200921058655,-1.0,False,-1.0,-1.0
local_1,87,3,-101.129150390625,1.0,-0.8771175742149353,-1.0,False,-0.828851580619812,-0.9673729538917542
local_1,87,4,-98.93749237060547,0.8801974058151245,-1.0,-0.9047025442123413,False,-0.8912994861602783,-1.0
local_1,87,5,-101.77288818359375,1.0,-1.0,-0.5743134021759033,False,-1.0,-1.0
local_1,87,6,-101.74677276611328,0.85604327917099,-1.0,-0.8958336710929871,False,-0.6027607917785645,-0.9520992636680603
local_1,87,7,-118.15416717529297,0.8063786625862122,-1.0,-1.0,False,-1.0,-1.0
local_1,87,8,-115.19142150878906,0.9451022148132324,-1.0,-0.9987003803253174,False,-0.772306501865387,-0.6722514629364014
