step,sum_agent_rewards
1,-451798.2242088318
2,-962.4375991821289
3,-1070.4490966796875
4,-1055.0541305541992
5,-1099.951774597168
6,-1144.658935546875
7,-1277.583610534668
8,-1246.8689880371094
9,-921.9582443237305
10,-870.8325042724609
11,-1080.7349700927734
12,-968.2983169555664
13,-1069.0821685791016
14,-948.9262924194336
15,-1542.4715576171875
16,-1703.6292114257812
17,-1827.3793640136719
18,-1513.7910919189453
19,-1407.6358261108398
20,-1734.721420288086
21,-1569.8902435302734
22,-1234.6896438598633
23,-1162.147575378418
24,-1262.4651718139648
