episode_relative_hour,test_sample_index,coordinator_action_0,coordinator_action_1,coordinator_action_2,total_requested_bess_power_kw,total_feasible_bess_power_kw,total_reserve_power_kw,total_apparent_upward_headroom_kw,number_of_apparent_headroom_excess_mgs,grid_import_kw,grid_export_kw,market_profit_usd,reserve_revenue_usd,all_power_balanced,all_transformers_feasible
1,1041,0.9974685907363892,0.9990957379341125,-0.9988269209861755,1441.7259126901627,1441.7259126901627,1449.3444100022316,8.274087309837341,5,0.0,157.7190790386587,93.91469795508243,72.46722050011158,True,True
2,1042,0.9932145476341248,0.9988279342651367,-0.9985333681106567,669.7545877866148,669.7545877866148,1449.1502523422241,780.2454122133853,5,1195.113661784982,0.0,-162.93558356997545,72.4575126171112,True,True
3,1043,-0.9824819564819336,0.9957142472267151,-0.9958608150482178,10.261592112158823,10.261592112158823,1446.8928292393684,1439.738407887841,4,2282.686574504636,0.0,-469.7025564196193,72.34464146196842,True,True
4,1044,-0.9917373061180115,0.9966329336166382,-0.9967645406723022,0.0,0.0,1447.5588768720627,1450.0,0,2076.7994002476607,0.0,-371.42274338645063,72.37794384360313,True,True
5,1045,-0.9911139607429504,0.9967625141143799,-0.9969584941864014,0.0,0.0,1447.6528227329254,1450.0,0,2325.2540553248136,0.0,-411.0339533278932,72.38264113664627,True,True
6,1046,-0.992114782333374,0.9969327449798584,-0.9971299767494202,0.0,0.0,1447.7762401103973,1450.0,0,2442.4085857159007,0.0,-433.5694654670954,72.38881200551987,True,True
7,1047,-0.9920397996902466,0.9968401789665222,-0.9970630407333374,0.0,0.0,1447.7091297507286,1450.0,0,2208.495895727323,0.0,-365.0107968201685,72.38545648753643,True,True
8,1048,-0.9907113909721375,0.996573269367218,-0.9968699812889099,0.0,0.0,1447.515620291233,1450.0,0,2118.738379390387,0.0,-331.6641023522376,72.37578101456165,True,True
9,1049,-0.9899057745933533,0.9964292645454407,-0.9967722296714783,0.0,0.0,1447.4112167954445,1450.0,0,2076.128986857458,0.0,-313.139686531099,72.37056083977222,True,True
10,1050,-0.9893079400062561,0.9962525963783264,-0.9966294169425964,0.0,0.0,1447.2831323742867,1450.0,0,2744.6041248631313,0.0,-451.1725026281355,72.36415661871433,True,True
11,1051,-0.991247832775116,0.9962226748466492,-0.996539294719696,0.0,0.0,1447.2614392638206,1450.0,0,3644.17244337218,0.0,-602.3944619615087,72.36307196319103,True,True
12,1052,-0.99305659532547,0.9966187477111816,-0.9966860413551331,0.0,0.0,1447.5485920906067,1450.0,0,3464.1902881448236,0.0,-570.2177815792554,72.37742960453033,True,True
13,1053,-0.9924600720405579,0.9964550733566284,-0.9965816140174866,0.0,0.0,1447.4299281835556,1450.0,0,3249.68079328696,0.0,-526.4709961738889,72.37149640917778,True,True
14,1054,-0.9920803904533386,0.9964467287063599,-0.9966126084327698,0.0,0.0,1447.423878312111,1450.0,0,2956.218891546411,0.0,-476.094391446901,72.37119391560555,True,True
15,1055,-0.991779625415802,0.9965556859970093,-0.9967588782310486,0.0,0.0,1447.5028723478317,1450.0,0,2898.681735509066,0.0,-477.8919312552034,72.37514361739159,True,True
16,1056,-0.9922714233398438,0.9968910217285156,-0.9970740079879761,0.0,0.0,1447.7459907531738,1450.0,0,2566.659682563658,0.0,-465.9354758583445,72.38729953765869,True,True
17,1057,-0.9907919764518738,0.9965717196464539,-0.9968101382255554,0.0,0.0,1447.514496743679,1450.0,0,2411.7141628793815,0.0,-483.5699654100557,72.37572483718395,True,True
18,1058,-0.9897906184196472,0.9963172078132629,-0.9965968132019043,0.0,0.0,1447.3299756646156,1450.0,0,1737.8972180916521,0.0,-337.65559600172355,72.36649878323078,True,True
19,1059,-0.9860413670539856,0.9959064722061157,-0.9962701797485352,0.0,0.0,1447.032192349434,1450.0,0,1099.930957585499,0.0,-178.4517975340697,72.3516096174717,True,True
20,1060,-0.9772661924362183,0.9950507879257202,-0.9954286217689514,0.0,0.0,1446.4118212461472,1450.0,0,652.0666273447835,0.0,-57.60465276426635,72.32059106230736,True,True
21,1061,-0.8368618488311768,0.995614230632782,-0.995819091796875,0.0,0.0,1446.820317208767,1450.0,0,339.78750991624946,0.0,9.950698017077933,72.34101586043835,True,True
22,1062,0.9278497695922852,0.996118426322937,-0.9966519474983215,0.0,0.0,1447.1858590841293,1450.0,0,285.37732557739446,0.0,22.01432925072038,72.35929295420647,True,True
23,1063,0.9429793357849121,0.9963501691818237,-0.9969304800033569,0.0,0.0,1447.3538726568222,1450.0,0,545.6269363133316,0.0,-22.726122297419522,72.36769363284111,True,True
24,1064,0.814046323299408,0.996938169002533,-0.9969547986984253,0.0,0.0,1447.7801725268364,1450.0,0,734.7236705328662,0.0,-54.68650403672734,72.38900862634182,True,True
