hour,pv_kw,load_kw,ev_kw,total_demand_kw,bess_power_kw,grid_power_kw,sharing_scheduled_kw,sharing_loss_kw,buy_price_usd_per_kwh,total_step_reward,mg1_soc,mg2_soc,mg3_soc,mg4_soc,mg5_soc
1,764.4000053405762,1647.1228412721666,401.26972246783504,2048.3925637400016,1441.7259126901627,-157.7190790386587,0.7137626039201983,0.014275252078403966,0.1899816343217569,64.92146820826389,0.33978381325571155,0.3373486341225473,0.30789280120336515,0.3139767017985074,0.33710979203675917
2,137.21399851298332,1815.9230404377258,186.14224512629409,2002.0652855640199,669.7545877866147,1195.113661784982,0.8481260280039926,0.016962520560079852,0.1969629364252362,-411.8824830058097,0.20188378753573144,0.20282116136720205,0.2006775639409774,0.20109664791668236,0.20364615118487855
3,0.0,1881.5490991673669,411.36726657359225,2292.916365740959,10.261592112158823,2282.686574504636,1.5900437917766297,0.031800875835532594,0.2374601944637174,-1012.1136976364655,0.20005125143958497,0.20004358137374043,0.20000632519370617,0.20000554880201457,0.2001005013037022
4,0.0,1710.0838101929335,366.70756257936785,2076.791372772301,0.0,2076.7994002476607,0.40137376795801316,0.008027475359160263,0.21369453745851913,-815.3821421095197,0.2,0.2,0.2,0.2,0.2
5,0.0,2019.8444911820095,305.4023357651781,2325.2468269471874,0.0,2325.2540553248136,0.36141888129925803,0.007228377625985161,0.2078983986104741,-894.6092592854479,0.2,0.2,0.2,0.2,0.2
6,0.0,2162.779814340033,279.62877137586725,2442.4085857159007,0.0,2442.4085857159007,0.0,0.0,0.20715546138825602,-939.686454432726,0.2,0.2,0.2,0.2,0.2
7,0.0,1993.2894971818605,215.2059657227189,2208.495462904579,0.0,2208.495895727323,0.021641137174788216,0.00043282274349576433,0.1980516487053092,-802.5657616208887,0.2,0.2,0.2,0.2,0.2
8,0.0,1974.1822711719553,144.5520007691399,2118.7342719410954,0.0,2118.738379390387,0.20537246458163239,0.004107449291632648,0.1906983359989219,-735.8626972120521,0.2,0.2,0.2,0.2,0.2
9,0.0,2038.213973359387,37.905701946427286,2076.1196753058143,0.0,2076.128986857458,0.46557758219512024,0.009311551643902405,0.18568704055059726,-698.8086453949857,0.2,0.2,0.2,0.2,0.2
10,0.0,2736.519695985716,8.069050057915652,2744.588746043632,0.0,2744.6041248631313,0.7689409749676024,0.015378819499352048,0.1907512469664301,-974.8678733680006,0.2,0.2,0.2,0.2,0.2
11,0.0,3636.081518583949,8.069050057915652,3644.150568641865,0.0,3644.17244337218,1.0937365157652756,0.021874730315305513,0.18516070367413912,-1277.3107073792237,0.2,0.2,0.2,0.2,0.2
12,0.0,3456.09785883436,8.069050057915652,3464.166908892276,0.0,3464.1902881448236,1.1689626273918563,0.023379252547837126,0.18549651079586466,-1212.9717042560565,0.2,0.2,0.2,0.2,0.2
13,0.0,3241.5879443005865,8.069050057915652,3249.6569943585023,0.0,3249.68079328696,1.189946422902377,0.02379892845804754,0.18427732773635114,-1125.4722002499707,0.2,0.2,0.2,0.2,0.2
14,0.0,2948.1266524745533,8.069050057915652,2956.195702532469,0.0,2956.218891546411,1.1594506971150942,0.023189013942301884,0.18552942305148512,-1024.7186883024228,0.2,0.2,0.2,0.2,0.2
15,0.0,2890.590984369609,8.069050057915652,2898.660034427525,0.0,2898.681735509066,1.0850540770785955,0.02170108154157191,0.18983356059127932,-1028.3177176208137,0.2,0.2,0.2,0.2,0.2
16,0.0,2542.520730162649,24.119270372327684,2566.640000534977,0.0,2566.659682563658,0.9841014340539189,0.01968202868107838,0.2097367169683789,-1004.4169627473628,0.2,0.2,0.2,0.2,0.2
17,0.0,2261.789760104695,149.90629046359464,2411.6960505682896,0.0,2411.7141628793815,0.9056155546092182,0.018112311092184363,0.2305188976389672,-1039.6743671503107,0.2,0.2,0.2,0.2,0.2
18,353.93397505617185,1666.3014408010658,425.51819474619333,2091.819635547259,0.0,1737.8972180916521,0.5778800282456587,0.011557600564913173,0.23593000237102105,-747.8364022796932,0.2,0.2,0.2,0.2,0.2
19,926.800000667572,1468.4715307043853,558.2594275486857,2026.730958253071,0.0,1099.930957585499,0.0,0.0,0.2280174091127407,-429.4139161786263,0.2,0.2,0.2,0.2,0.2
20,1310.3999853134155,1328.1299238362415,634.3260862424313,1962.4560100786728,0.0,652.0666273447835,0.5301289763037786,0.010602579526075573,0.19925148501408446,-187.68860808385534,0.2,0.2,0.2,0.2,0.2
21,1545.5999612808228,1381.2399118365397,504.1287460016297,1885.3686578381694,0.0,339.78750991624946,0.9406679451444688,0.018813358902889377,0.18361568928398317,-52.59833131929776,0.2,0.2,0.2,0.2,0.2
22,1607.200002670288,1393.2801156120045,499.28488501692664,1892.565000628931,0.0,285.37732557739446,0.616380937567218,0.01232761875134436,0.17641543034866136,-28.489345945781004,0.2,0.2,0.2,0.2,0.2
23,1489.6000146865845,1509.446193731144,525.7733731680099,2035.219566899154,0.0,545.6269363133316,0.36920503810861094,0.007384100762172219,0.17428358022935306,-117.97864972069544,0.2,0.2,0.2,0.2,0.2
24,1195.5999612808228,1521.5340233465226,408.7760406183053,1930.3100639648278,0.0,734.7236705328662,0.6783924430475707,0.013567848860951415,0.17295687856484368,-181.9207281928118,0.2,0.2,0.2,0.2,0.2
