hour,irradiance_w_m2,load_MG1_kw,load_MG2_kw,load_MG3_kw,load_MG4_kw,load_MG5_kw,ev_MG1_kw,ev_MG2_kw,ev_MG3_kw,ev_MG4_kw,ev_MG5_kw,buy_price,sell_price,confidence,local_reward_MG1,local_reward_MG2,local_reward_MG3,local_reward_MG4,local_reward_MG5,coordinator_reward,done,local_state_dimension,coordinator_state_dimension
1,0.0,699.0008515635898,792.2009651054017,652.4007947926838,745.6009083344958,885.4010786472137,28.198603449653024,35.24825431206628,25.37874310468772,31.018463794618327,42.29790517447954,0.25684748965824095,0.18947799172659274,0.8241741133467352,-168.32633306394382,-193.57893019769892,-156.30578952687145,-180.34687660101613,-218.83152733145397,-917.5652826076375,False,101,99
2,19.999999552965164,541.5742513702565,613.7841515529574,505.4693012789061,577.6792014616069,685.9940517356582,90.89919834052615,113.62399792565769,81.80927850647355,99.98911817457878,136.34879751078924,0.26656121984086856,0.19724897587269485,0.8241741133467352,-167.5582390677553,-198.81694156352353,-153.85598444670404,-181.2604936888066,-230.07564405929176,-931.7431287127345,False,101,99
3,9.999999776482582,486.1947812710635,551.0207521072053,453.7817958529926,518.6077666891345,615.8467229433471,168.61293184200144,210.7661648025018,151.7516386578013,185.4742250262016,252.91939776300217,0.2230652080873246,0.1624521664698597,0.8241741133467352,-138.5335763995283,-163.058361942404,-127.6488298489793,-149.41832295007728,-187.58314748527974,-766.4180645129219,False,101,99
4,46.00000008940697,427.8268643438717,484.87044625638794,399.3050733876136,456.34865530012985,541.9140281689041,360.0,450.0,324.0,396.0,540.0,0.21412184742587148,0.15529747794069715,0.8241741133467352,-126.20370258485679,-146.6555380908291,-116.75560730417247,-135.6517978655411,-167.10737359680144,-692.5498453288542,False,101,99
5,136.99999451637268,423.86453310807053,480.37980418914657,395.6068975675325,452.1221686486085,536.8950752702226,343.0916292905846,428.86453661323077,308.78246636152613,377.4007922196431,514.637443935877,0.21887960708742754,0.15910368566994204,0.8241741133467352,-104.00123766701401,-120.4259713390615,-96.33715631551804,-111.66531901850996,-136.850705011109,-569.4562152378658,False,101,99
6,103.00000011920929,419.5019157742157,475.4355045441111,391.535121389268,447.4687101591634,531.3690933140066,259.5715466557584,324.464433319698,233.61439199018255,285.52870132133427,389.3573199836376,0.21229541352094453,0.15383633081675563,0.8241741133467352,-138.19471303972227,-159.19630568581007,-128.24583762541937,-148.14358845402512,-180.1978983318979,-754.154169023528,False,101,99
7,18.99999938905239,409.6827803697522,464.30715108571917,382.3705950117687,436.9949657277357,518.9315218016861,167.56011840936432,209.45014801170538,150.80410656842787,184.31613025030074,251.34017761404647,0.20880185537387877,0.15104148429910302,0.8241741133467352,-150.159805429472,-173.79686471957152,-139.11607976288724,-161.20353109605676,-197.43392400967105,-821.8860309043118,False,101,99
8,12.000000104308128,442.3821637908919,501.36645229634416,412.8900195381658,471.87430804361804,560.3507408017964,144.62587711760818,180.78234639701023,130.16328940584737,159.088464829369,216.93881567641228,0.2151267775321647,0.15610142202573174,0.8241741133467352,-123.48601980466385,-142.1297589029041,-114.63106521074768,-132.34097439858002,-160.7734980011443,-673.5371422046932,False,101,99
9,8.999999612569809,438.03289786211695,496.4372842437325,408.83070467130915,467.23509105292476,554.8416706253481,150.177949886601,187.72243735825126,135.1601548979409,165.1957448752611,225.2669248299015,0.18358206623374376,0.130865652986995,0.8241741133467352,-62.841772041083004,-71.23122266288252,-58.64930694796648,-67.03423713419953,-79.62067328468206,-339.55303795746687,False,101,99
10,4.999999888241291,447.8787360767402,507.59590088697223,418.0201536716242,477.7373184818562,567.3130656972043,119.6693971578848,149.586746447356,107.70245744209632,131.6363368736733,179.5040957368272,0.1832667323641355,0.1306133858913084,0.8241741133467352,-87.25753827556873,-99.67800738273806,-81.21576029421838,-93.29931625691907,-112.09847648990738,-473.72492458600493,False,101,99
11,125.0,409.52267324636915,464.12569634588505,382.22116169661126,436.8241847961271,518.728719445401,94.05026830903586,117.56283538629482,84.64524147813228,103.45529513993945,141.0754024635538,0.2081711876346622,0.15053695010772974,0.8241741133467352,-95.40551832241856,-108.76634618060356,-88.86226698229659,-101.94876966254051,-122.12717403878858,-517.285901073301,False,101,99
12,0.0,362.8683646565019,411.2508132773688,338.6771403460684,387.05958896693534,459.63326189823573,68.99011359263015,86.2376419907877,62.09110223336714,75.88912495189317,103.48517038894522,0.32,0.24,0.8241741133467352,-147.52808016932212,-168.26909086441657,-137.38698910874305,-157.66917122990117,-189.010101559511,-800.0392588185472,False,101,99
13,0.0,365.28310343717595,413.98751722879945,340.93089654136423,389.63531033298773,462.6919310204229,67.64480155781413,84.55600194726766,60.88032140203271,74.40928171359553,101.46720233672119,0.2922087473867081,0.2177669979093665,0.8241741133467352,-147.52808016932212,-168.26909086441657,-137.38698910874305,-157.66917122990117,-189.010101559511,-800.0392588185472,False,101,99
14,0.0,400.67742224970806,454.1010785496691,373.9655940997275,427.3892503996886,507.5247348496302,104.20494840769419,130.25618550961772,93.78445356692477,114.62544324846361,156.30742261154128,0.2974154261594645,0.22193234092757158,0.8241741133467352,-147.52808016932212,-168.26909086441657,-137.38698910874305,-157.66917122990117,-189.010101559511,-800.0392588185472,False,101,99
15,0.0,402.9721081222389,456.7017225385374,376.10730091408965,429.8369153303882,510.43133695483596,114.0795741426092,142.5994676782615,102.67161672834828,125.48753155687012,171.1193612139138,0.2682958706886473,0.1986366965509178,0.8241741133467352,-147.52808016932212,-168.26909086441657,-137.38698910874305,-157.66917122990117,-189.010101559511,-800.0392588185472,False,101,99
16,0.0,443.38275100885414,502.500451143368,413.8239009415972,472.94160107611106,561.6181512778819,79.00894181917641,98.76117727397052,71.10804763725876,86.90983600109405,118.51341272876462,0.23638587959957283,0.17310870367965825,0.8241741133467352,-147.52808016932212,-168.26909086441657,-137.38698910874305,-157.66917122990117,-189.010101559511,-800.0392588185472,False,101,99
17,0.0,393.51316802139735,445.9815904242503,367.27895681997086,419.74737922282384,498.45001282710325,17.308285962729613,21.635357453412016,15.57745736645665,19.039114559002574,25.96242894409442,0.18591355161460066,0.1327308412916805,0.8241741133467352,-147.52808016932212,-168.26909086441657,-137.38698910874305,-157.66917122990117,-189.010101559511,-800.0392588185472,False,101,99
18,0.0,428.09367297031815,485.17282936636053,399.55409477229693,456.63325116833937,542.251985762403,0.6167738077372725,0.7709672596715907,0.5550964269635453,0.6784511885109998,0.9251607116059088,0.14658325336684963,0.10126660269347972,0.8241741133467352,-147.52808016932212,-168.26909086441657,-137.38698910874305,-157.66917122990117,-189.010101559511,-800.0392588185472,False,101,99
