episode,steps,cumulative_steps,total_return,coordinator_return,mean_local_return,sum_local_return,minimum_local_return,maximum_local_return,local_update_count,coordinator_update_count,terminated_early,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,moving_average_return,moving_average_coordinator_return,moving_average_local_return,cumulative_local_updates,cumulative_coordinator_updates
501,24,24,-7914.659474122719,-3063.8705895661224,-970.1577769113194,-4850.788884556597,-1154.5911920040662,-846.1282396808983,120,24,False,-913.3283872033575,-1030.0763934072236,-846.1282396808983,-906.6646722610511,-1154.5911920040662,-7914.659474122719,-3063.8705895661224,-970.1577769113194,120,24
502,24,48,-17385.62579443268,-7800.822211622513,-1916.9607165620334,-9584.803582810167,-2259.209316841223,-1644.2051498285027,120,24,False,-1782.293979627889,-2022.4170658661901,-1644.2051498285027,-1876.6780706463614,-2259.209316841223,-12650.1426342777,-5432.346400594318,-1443.5592467366764,240,48
503,24,72,-13587.40070430204,-5770.805415345802,-1563.3190577912474,-7816.595288956237,-1833.6139667441305,-1337.582906034821,120,24,False,-1438.3657903970732,-1677.4391586840275,-1337.582906034821,-1529.5934670961847,-1833.6139667441305,-12962.561990952478,-5545.166072178145,-1483.4791837548667,360,72
504,24,96,-14482.83729284468,-6310.06295044905,-1634.5548684791263,-8172.774342395632,-1919.4971581999841,-1413.533533565899,120,24,False,-1498.0926928994695,-1747.6106888930262,-1413.533533565899,-1594.0402688372524,-1919.4971581999841,-13342.630816425528,-5736.390291745872,-1521.2481049359317,480,96
505,24,120,-21233.26740571185,-9752.733359449556,-2296.1068092524592,-11480.534046262295,-2744.197587504755,-1939.794656336975,120,24,False,-2124.742816471573,-2437.3367547876715,-1939.794656336975,-2234.4622311613207,-2744.197587504755,-14920.758134282794,-6539.658905286608,-1676.2198457992374,600,120
506,24,144,-18454.730725802765,-8340.608994439022,-2022.8243462727485,-10114.121731363743,-2396.69166434994,-1722.8525149899367,120,24,False,-1882.6440709535082,-2134.2588430956803,-1722.8525149899367,-1977.674637974677,-2396.69166434994,-15509.75356620279,-6839.817253478676,-1733.9872625448224,720,144
507,24,168,-10907.059709488662,-4587.184061333902,-1263.975129630952,-6319.875648154761,-1494.8019934372574,-1058.7215674488052,120,24,False,-1171.8496039564272,-1358.2499244927856,-1058.7215674488052,-1236.2525588194856,-1494.8019934372574,-14852.225872386485,-6518.012511743708,-1666.8426721285553,840,168
508,24,192,-14471.522016906603,-6334.892407289662,-1627.3259219233883,-8136.629609616942,-1922.5672050936566,-1401.3430124638116,120,24,False,-1496.1467437098156,-1717.214347522243,-1401.3430124638116,-1599.3583008274143,-1922.5672050936566,-14804.6378904515,-6495.122498686954,-1661.9030783529092,960,192
509,24,216,-18972.104272843026,-8643.317591789115,-2065.757336210782,-10328.786681053909,-2463.078075202504,-1749.086548525579,120,24,False,-1891.8212929421584,-2198.47140495343,-1749.086548525579,-2026.3293594302386,-2463.078075202504,-15267.689710717224,-6733.810842364972,-1706.7757736704507,1080,216
510,24,240,-11207.837361381688,-4618.902951257017,-1317.7868820249344,-6588.934410124672,-1563.7497560462903,-1113.8530470363075,120,24,False,-1219.5495688726862,-1404.0734856705744,-1113.8530470363075,-1287.7085524988122,-1563.7497560462903,-14861.70447578367,-6522.320053254176,-1667.876884505899,1200,240
511,24,264,-12953.178326505644,-5624.054416099975,-1465.8247820811337,-7329.1239104056685,-1739.5705282988183,-1253.5157595611313,120,24,False,-1357.4028622017818,-1569.3271537493263,-1253.5157595611313,-1409.3076065946104,-1739.5705282988183,-14688.202098576578,-6440.659540785613,-1649.508511558193,1320,264
512,24,288,-12589.235743786197,-5128.715356456667,-1492.104077465906,-7460.5203873295295,-1747.3614407016378,-1258.4858163505637,120,24,False,-1389.881939976652,-1603.9046309235362,-1258.4858163505637,-1460.8865593771395,-1747.3614407016378,-14513.288235677379,-6331.3308587582005,-1636.3914753838355,1440,288
513,24,312,-15020.81234483583,-6589.375612832588,-1686.2873464006484,-8431.436732003242,-1986.3640388497,-1434.5315267772855,120,24,False,-1541.2693912709792,-1811.6310055570468,-1434.5315267772855,-1657.6407695482305,-1986.3640388497,-14552.328551766492,-6351.180455225462,-1640.2296193082059,1560,312
514,24,336,-10955.04367440569,-4483.759794457194,-1294.2567759896992,-6471.283879948496,-1504.65068708747,-1096.6363529596208,120,24,False,-1183.991204613367,-1419.71320187652,-1096.6363529596208,-1266.292433411518,-1504.65068708747,-14295.379631955006,-6217.793265170585,-1615.5172733568838,1680,336
515,24,360,-8045.382825716904,-2682.425028324455,-1072.5915594784897,-5362.957797392449,-1284.363489793332,-877.8767759542588,120,24,False,-984.2233241851136,-1186.757006501371,-877.8767759542588,-1029.7372009583733,-1284.363489793332,-13878.713178205799,-5982.102049380844,-1579.322225764991,1800,360
516,24,384,-11732.44191727641,-5029.5493516617225,-1340.5785131229375,-6702.892565614688,-1603.585524359074,-1143.376666173865,120,24,False,-1235.1662237119845,-1417.0447746975344,-1143.376666173865,-1303.7193766722296,-1603.585524359074,-13744.57122439771,-5922.567505773397,-1564.4007437248629,1920,384
517,24,408,-6381.5147840392165,-2090.2067251181484,-858.2616117842135,-4291.308058921068,-1013.3408038474931,-684.2495187373254,120,24,False,-802.8247869291688,-930.7790139311202,-684.2495187373254,-860.1139354759598,-1013.3408038474931,-13311.4502573178,-5697.134518676029,-1522.863147728354,2040,408
518,24,432,-14261.553478404294,-6273.808975471412,-1597.5489005865766,-7987.744502932883,-1909.3726554629545,-1360.399970451707,120,24,False,-1482.390147079402,-1685.5367850512557,-1360.399970451707,-1550.0449448875631,-1909.3726554629545,-13364.233769600383,-5729.171988497995,-1527.0123562204774,2160,432
519,24,456,-5882.215719054502,-1601.8437238753875,-856.0743990358229,-4280.3719951791145,-993.1868405016548,-713.4883708826723,120,24,False,-771.9170794997577,-974.5910771547636,-713.4883708826723,-827.1886271402661,-993.1868405016548,-12970.443345887443,-5511.944185096805,-1491.6998321581273,2280,456
520,24,480,-32605.049536446633,-15447.31029504,-3431.547848281327,-17157.739241406634,-4094.874466423834,-2890.4577652273265,120,24,False,-3159.1122455484438,-3655.2362253483443,-2890.4577652273265,-3358.0585388586883,-4094.874466423834,-13952.173655415401,-6008.712490593965,-1588.692232964287,2400,480
521,24,504,-8399.747161637877,-3317.5543111355596,-1016.4385701004636,-5082.192850502318,-1165.3411740886338,-870.8839337512991,120,24,False,-934.1744649270349,-1121.1545603850777,-870.8839337512991,-990.638717350272,-1165.3411740886338,-13976.42803979116,-6021.396676672438,-1591.0062726237443,2520,504
522,24,528,-20199.371705891142,-9243.858365694794,-2191.1026680392697,-10955.513340196349,-2602.657097224184,-1870.097792473152,120,24,False,-2032.1007360673764,-2317.402907473581,-1870.097792473152,-2133.2548069580553,-2602.657097224184,-14117.115335364084,-6093.548484376051,-1604.7133701976065,2640,528
523,24,552,-13513.18348000815,-5893.137494699047,-1524.0091970618207,-7620.045985309103,-1815.0538870656242,-1301.6694189452119,120,24,False,-1419.9450058183913,-1605.7922880854926,-1301.6694189452119,-1477.5853853943838,-1815.0538870656242,-14113.404474149389,-6099.665088343713,-1602.7478771611347,2760,552
524,24,576,-12634.58831399426,-5472.284845097237,-1432.4606937794047,-7162.303468897023,-1695.5258337440591,-1255.521110109234,120,24,False,-1312.154453655532,-1507.4126912843471,-1255.521110109234,-1391.6893801038505,-1695.5258337440591,-14020.992025206866,-6057.776183076124,-1592.643168426149,2880,576
