episode,steps,cumulative_steps,total_return,coordinator_return,mean_local_return,sum_local_return,minimum_local_return,maximum_local_return,local_update_count,coordinator_update_count,terminated_early,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,moving_average_return,moving_average_coordinator_return,moving_average_local_return,cumulative_local_updates,cumulative_coordinator_updates
1,24,24,-11121.566414047778,-4685.2874319881375,-1287.255796411928,-6436.27898205964,-1477.4498303176856,-980.7762817617772,0,0,False,-980.7762817617772,-1477.4498303176856,-1339.8208920254488,-1398.7513570678625,-1239.4806208868658,-11121.566414047778,-4685.2874319881375,-1287.255796411928,0,0
2,24,48,-10697.20691459204,-4511.918124569243,-1237.057758004559,-6185.288790022795,-1372.658360665404,-1089.753465003177,0,0,False,-1213.346275436677,-1089.753465003177,-1278.057604320348,-1231.473084597189,-1372.658360665404,-10909.386664319909,-4598.6027782786905,-1262.1567772082435,0,0
3,24,72,-14724.811865567252,-6431.897839761356,-1658.5828051611788,-8292.914025805894,-1898.2973892185532,-1376.0041479293743,0,0,False,-1376.0041479293743,-1898.2973892185532,-1544.2923405975696,-1596.1251165565602,-1878.1950315038368,-12181.195064735692,-5209.7011321062455,-1394.2987865258885,0,0
4,24,96,-8651.89130918516,-3305.429522683599,-1069.2923573003122,-5346.461786501561,-1143.8055245214773,-932.7322193333172,0,0,False,-1143.8055245214773,-1100.4857557098233,-1025.9343604561318,-1143.5039264808124,-932.7322193333172,-11298.869125848058,-4733.633229750584,-1313.0471792194944,0,0
5,24,120,-18045.2079406538,-8238.887954623202,-1961.2639972061197,-9806.319986030598,-2295.422312781628,-1698.3632230552194,0,0,False,-1811.6170307616533,-1897.906332698289,-1698.3632230552194,-2295.422312781628,-2103.011086733807,-12648.136888809206,-5434.684174725107,-1442.6905428168197,0,0
6,24,144,-50411.881738576514,-8626.287599612215,-8357.11882779286,-41785.5941389643,-33741.72914798777,-1826.9030709769177,0,0,False,-1885.5532263708765,-1826.9030709769177,-33741.72914798777,-2037.381106023288,-2294.027587605443,-18942.094363770422,-5966.618078872959,-2595.095256979493,0,0
7,24,168,-18271.960706871258,-8303.457069497621,-1993.700727474728,-9968.503637373638,-2494.100805363904,-1651.812638021924,0,0,False,-1651.812638021924,-2494.100805363904,-1729.0893046343683,-1933.3298319626167,-2160.1710573908254,-18846.3609842134,-6300.452220390768,-2509.181752764526,0,0
8,24,192,-21078.37765980819,-9710.9967309271,-2273.4761857762182,-11367.380928881092,-2564.9331065549486,-1877.25471253902,0,0,False,-1877.25471253902,-2496.5409047141693,-1945.8165267249587,-2564.9331065549486,-2482.835678347994,-19125.363068662748,-6726.770284207809,-2479.718556890988,0,0
9,24,216,-16060.375248636436,-7301.276467636527,-1751.8197561999818,-8759.09878099991,-1977.2322219046653,-1543.4634963235055,0,0,False,-1579.4841835814875,-1694.13528549966,-1543.4634963235055,-1964.7835936905908,-1977.2322219046653,-18784.8088664376,-6790.604304588778,-2398.840912369765,0,0
10,24,240,-14518.98150020814,-6588.2402122343865,-1586.1482575947507,-7930.741287973754,-1848.882724950324,-1481.7996004073325,0,0,False,-1505.9274132134967,-1581.9935422425892,-1481.7996004073325,-1512.1380071600129,-1848.882724950324,-18358.226129814655,-6770.367895353338,-2317.5716468922637,0,0
11,24,264,-8843.919069049776,-3178.992912676304,-1132.9852312746943,-5664.926156373472,-1273.7680217937905,-1014.5179478425268,0,0,False,-1014.5179478425268,-1273.7680217937905,-1022.1263488708988,-1103.049421293079,-1251.4644165731768,-17493.289124290575,-6443.879260564518,-2209.881972745212,0,0
12,24,288,-17259.112817788842,-7814.64177486399,-1888.8942085849708,-9444.471042924852,-2011.7346617746596,-1731.7430058619968,0,0,False,-1731.7430058619968,-2001.3936078748527,-1834.0537448825085,-2011.7346617746596,-1865.546022530836,-17473.774432082097,-6558.109470089473,-2183.1329923985254,0,0
13,24,312,-15525.633510406557,-7012.263233260734,-1702.6740554291646,-8513.370277145823,-1900.5768444763837,-1493.6997476661354,0,0,False,-1493.6997476661354,-1842.2475507736024,-1658.9296427752597,-1617.9164914544424,-1900.5768444763837,-17323.917438107055,-6593.0443749488,-2146.174612631651,0,0
14,24,336,-14049.55549381251,-6217.378047105538,-1566.4354893413945,-7832.177446706973,-1772.4894876893134,-1345.4686181384336,0,0,False,-1461.1307674946388,-1680.340749753717,-1345.4686181384336,-1572.747823630869,-1772.4894876893134,-17090.034442086016,-6566.21106581714,-2104.7646752537757,0,0
15,24,360,-9557.329081420785,-3739.869314730558,-1163.4919533380455,-5817.459766690227,-1327.3724352638048,-1047.8243033764825,0,0,False,-1047.8243033764825,-1122.4458142109222,-1099.0740260882046,-1327.3724352638048,-1220.7431877508136,-16587.854084708335,-6377.788282411367,-2042.013160459394,0,0
