episode,steps,cumulative_steps,total_return,coordinator_return,mean_local_return,sum_local_return,minimum_local_return,maximum_local_return,local_update_count,coordinator_update_count,terminated_early,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,moving_average_return,moving_average_coordinator_return,moving_average_local_return,cumulative_local_updates,cumulative_coordinator_updates
1,24,24,-132307.7138991436,-5499.840589076869,-25361.574662013343,-126807.87331006672,-121742.36120528793,-980.5792952681338,0,0,False,-980.5792952681338,-1475.993780750459,-121742.36120528793,-1386.85878862552,-1222.080240134661,-132307.7138991436,-5499.840589076869,-25361.574662013343,0,0
2,24,48,-202498.28150360653,-5680.452891211137,-39363.56572247908,-196817.8286123954,-109521.50463682435,-1090.3583365604945,0,0,False,-109521.50463682435,-1090.3583365604945,-81135.56819137972,-1231.4426741116788,-3838.954773519144,-167402.99770137505,-5590.146740144003,-32362.57019224621,0,0
3,24,72,-43945.14645565533,-7380.9948931400995,-7312.830312503046,-36564.15156251523,-29647.54551242035,-1543.8885255296605,0,0,False,-29647.54551242035,-1898.4352817902707,-1543.8885255296605,-1596.0897304524417,-1878.1925123225087,-126250.38061946847,-6187.096124476036,-24012.65689899849,0,0
4,24,96,-125161.94477397912,-4591.022072390553,-24114.184540317714,-120570.92270158857,-63219.49872005332,-933.2437453841459,0,0,False,-54252.31494529632,-63219.49872005332,-1024.013285298976,-1141.8520055558085,-933.2437453841459,-125978.27165809614,-5788.077611454664,-24038.038809328296,0,0
5,24,120,-143685.66487984915,-9328.467546671547,-26871.439466635522,-134357.1973331776,-126850.85440057726,-1691.913432550225,0,0,False,-1812.5183784939472,-1900.695984897879,-1691.913432550225,-126850.85440057726,-2101.2151366583134,-129519.75030244674,-6496.155598498041,-24604.718940789742,0,0
6,24,144,-796397.5412331696,-10308.769163066892,-157217.75441402054,-786088.7720701027,-723125.2712785536,-1838.8981532581909,0,0,False,-1886.827977617983,-1838.8981532581909,-723125.2712785536,-56942.02661557215,-2295.748045100744,-240666.0487909006,-7131.591192592849,-46706.89151966155,0,0
7,24,168,-144855.24808845847,-9403.235619301013,-27090.40249383149,-135452.01246915746,-108557.22248650357,-1652.6293792046843,0,0,False,-1652.6293792046843,-108557.22248650357,-1729.185718691749,-21353.582239247815,-2159.392645509637,-226978.79154769456,-7456.11182497973,-43904.535944542964,0,0
8,24,192,-88442.26766393517,-10568.812888846727,-15574.690955017688,-77873.45477508844,-64747.67911563035,-1945.8168118374178,0,0,False,-64747.67911563035,-2496.6611174311283,-1945.8168118374178,-6200.461356874482,-2482.836373315058,-209661.7260622246,-7845.199457963105,-40363.305320852305,0,0
9,24,216,-246523.2740139508,-8424.367042342961,-47619.78139432157,-238098.90697160785,-217409.32901313063,-1694.492751908962,0,0,False,-15053.459908340725,-1694.492751908962,-217409.32901313063,-1964.674480006783,-1976.9508182207326,-213757.4536124164,-7909.551411783088,-41169.58044012667,0,0
10,24,240,-15163.751426503542,-7233.010138529788,-1586.1482575947507,-7930.741287973754,-1848.882724950324,-1481.7996004073323,0,0,False,-1505.9274132134967,-1581.9935422425892,-1481.7996004073323,-1512.1380071600129,-1848.882724950324,-193898.0833938251,-7841.897284457758,-37211.237221873474,0,0
11,24,264,-523030.2336444215,-4790.401453287089,-103647.96643822688,-518239.8321911344,-488325.0789882005,-1014.0096881673591,0,0,False,-1014.0096881673591,-25353.636038211273,-2296.0382751274815,-488325.0789882005,-1251.0692014277604,-223819.18796206114,-7564.488572533152,-43250.9398779056,0,0
