episode,steps,cumulative_steps,total_return,coordinator_return,mean_local_return,sum_local_return,minimum_local_return,maximum_local_return,local_update_count,coordinator_update_count,terminated_early,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,moving_average_return,moving_average_coordinator_return,moving_average_local_return,cumulative_local_updates,cumulative_coordinator_updates
1,24,24,-11607.886432043508,-5171.607449983868,-1287.255796411928,-6436.27898205964,-1477.4498303176856,-980.7762817617771,0,0,False,-980.7762817617771,-1477.4498303176856,-1339.8208920254488,-1398.7513570678623,-1239.4806208868658,-11607.886432043508,-5171.607449983868,-1287.255796411928,0,0
2,24,48,-11323.927345432348,-5138.638555409553,-1237.057758004559,-6185.288790022795,-1372.658360665404,-1089.7534650031773,0,0,False,-1213.346275436677,-1089.7534650031773,-1278.057604320348,-1231.473084597189,-1372.658360665404,-11465.906888737929,-5155.1230026967105,-1262.1567772082435,0,0
3,24,72,-15559.457473485716,-7266.543447679821,-1658.5828051611788,-8292.914025805894,-1898.2973892185535,-1376.0041479293745,0,0,False,-1376.0041479293745,-1898.2973892185535,-1544.2923405975696,-1596.1251165565602,-1878.1950315038368,-12830.423750320524,-5858.929817691081,-1394.2987865258885,0,0
4,24,96,-9458.008477734234,-4111.546691232675,-1069.2923573003122,-5346.461786501561,-1143.8055245214773,-932.7322193333171,0,0,False,-1143.8055245214773,-1100.4857557098233,-1025.9343604561318,-1143.5039264808124,-932.7322193333171,-11987.319932173952,-5422.084036076479,-1313.0471792194944,0,0
5,24,120,-18726.46357461667,-8920.143588586074,-1961.2639972061195,-9806.319986030598,-2295.422312781628,-1698.3632230552194,0,0,False,-1811.6170307616535,-1897.9063326982891,-1698.3632230552194,-2295.422312781628,-2103.011086733807,-13335.148660662497,-6121.6959465783975,-1442.6905428168195,0,0
6,24,144,-51017.48826647686,-9231.894127512562,-8357.11882779286,-41785.5941389643,-33741.72914798777,-1826.9030709769177,0,0,False,-1885.5532263708765,-1826.9030709769177,-33741.72914798777,-2037.3811060232877,-2294.027587605443,-19615.53859496489,-6640.062310067425,-2595.095256979493,0,0
7,24,168,-18993.889882228643,-9025.386244855006,-1993.7007274747277,-9968.503637373638,-2494.100805363904,-1651.812638021924,0,0,False,-1651.812638021924,-2494.100805363904,-1729.0893046343683,-1933.3298319626172,-2160.1710573908254,-19526.73163600257,-6980.822872179937,-2509.181752764526,0,0
8,24,192,-21707.813396826037,-10340.432467944946,-2273.4761857762182,-11367.380928881092,-2564.9331065549486,-1877.2547125390201,0,0,False,-1877.2547125390201,-2496.5409047141693,-1945.8165267249587,-2564.9331065549486,-2482.835678347994,-19799.366856105502,-7400.774071650563,-2479.718556890988,0,0
9,24,216,-16706.693924353567,-7947.595143353659,-1751.8197561999818,-8759.09878099991,-1977.2322219046655,-1543.4634963235055,0,0,False,-1579.4841835814875,-1694.13528549966,-1543.4634963235055,-1964.7835936905908,-1977.2322219046655,-19455.736530355287,-7461.531968506462,-2398.840912369765,0,0
10,24,240,-15163.751426503542,-7233.010138529788,-1586.1482575947507,-7930.741287973754,-1848.882724950324,-1481.7996004073323,0,0,False,-1505.9274132134967,-1581.9935422425892,-1481.7996004073323,-1512.1380071600129,-1848.882724950324,-19026.53801997011,-7438.679785508795,-2317.5716468922637,0,0
11,24,264,-9669.203939616773,-4004.2777832433007,-1132.9852312746943,-5664.926156373472,-1273.7680217937905,-1014.5179478425267,0,0,False,-1014.5179478425267,-1273.7680217937905,-1022.1263488708989,-1103.049421293079,-1251.4644165731768,-18175.871285392535,-7126.461421666478,-2209.881972745212,0,0
12,24,288,-18006.432440108816,-8561.96139718396,-1888.8942085849708,-9444.471042924853,-2011.7346617746593,-1731.7430058619968,0,0,False,-1731.7430058619968,-2001.3936078748532,-1834.0537448825085,-2011.7346617746593,-1865.5460225308361,-18161.75138161889,-7246.086419626267,-2183.1329923985254,0,0
