episode,steps,cumulative_steps,total_return,coordinator_return,mean_local_return,sum_local_return,minimum_local_return,maximum_local_return,local_update_count,coordinator_update_count,terminated_early,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,moving_average_return,moving_average_coordinator_return,moving_average_local_return,cumulative_local_updates,cumulative_coordinator_updates
1,24,24,-24673.85313674697,-12060.498056145205,-2522.6710161203528,-12613.355080601763,-2803.6422975809733,-2295.927657191974,0,0,False,-2330.1640446006463,-2803.6422975809733,-2295.927657191974,-2518.066691801177,-2665.554389426992,-24673.85313674697,-12060.498056145205,-2522.6710161203528,0,0
2,24,48,-24751.50364426051,-12118.961242576934,-2526.508480336715,-12632.542401683575,-2780.4537011720313,-2357.4699437686545,0,0,False,-2387.8068732988263,-2780.4537011720313,-2357.4699437686545,-2399.344010077279,-2707.4678733667843,-24712.678390503737,-12089.72964936107,-2524.5897482285336,0,0
3,24,72,-27146.638479540525,-12083.148850654807,-3012.6979257771436,-15063.489628885718,-5208.834288716656,-2283.772826461465,0,0,False,-2283.772826461465,-5208.834288716656,-2432.8218222953624,-2559.604009381297,-2578.4566820309374,-25523.998420182663,-12087.536049792316,-2687.2924740780704,0,0
4,24,96,-24499.6591606543,-11878.933939899449,-2524.1450441509705,-12620.725220754852,-2965.061289575682,-2276.6038872143163,0,0,False,-2276.6038872143163,-2965.061289575682,-2281.5493889713175,-2423.491817323382,-2674.0188376701526,-25267.91360530057,-12035.385522319099,-2646.505616596295,0,0
5,24,120,-24633.0449659489,-12065.27650468042,-2513.5536922536958,-12567.768461268479,-2812.0093722263837,-2312.5234282884426,0,0,False,-2312.5234282884426,-2812.0093722263837,-2331.414950543085,-2534.9644017762766,-2576.856308434291,-25140.939877430235,-12041.363718791363,-2619.9152317277753,0,0
6,24,144,-24503.5019436369,-11911.465065561715,-2518.407375615037,-12592.036878075185,-2854.8375212771084,-2269.0921818183674,0,0,False,-2301.058270550642,-2854.8375212771084,-2269.0921818183674,-2495.157819346875,-2671.8910850821917,-25034.700221798015,-12019.713943253088,-2602.9972557089854,0,0
7,24,168,-24595.695111695364,-11932.063895430632,-2532.7262432529465,-12663.631216264732,-2872.1312425935425,-2265.3422018491196,0,0,False,-2405.167582438047,-2872.1312425935425,-2265.3422018491196,-2479.1746829314843,-2641.8155064525404,-24971.985206069065,-12007.192507849879,-2592.9585396438374,0,0
8,24,192,-29925.710767969627,-11979.295167667517,-3589.2831200604223,-17946.415600302113,-8279.910960895642,-2285.9243195523104,0,0,False,-2285.9243195523104,-8279.910960895642,-2310.0711083989345,-2418.0371188854447,-2652.4720925697784,-25591.200901306634,-12003.705340327084,-2717.49911219591,0,0
9,24,216,-24472.103537919294,-11922.079536556786,-2510.0048002725016,-12550.024001362508,-2743.147296789811,-2296.683343584247,0,0,False,-2298.9357535657296,-2689.2128751953114,-2296.683343584247,-2522.044732227409,-2743.147296789811,-25466.85674981915,-11994.635806574828,-2694.444188648865,0,0
10,24,240,-31288.317150942625,-11995.78744574341,-3858.5059410398435,-19292.529705199217,-9055.483679544695,-2316.2769378630346,0,0,False,-2316.2769378630346,-2835.734160133404,-9055.483679544695,-2543.7670560891474,-2541.267871568932,-26049.0027899315,-11994.750970491687,-2810.8503638879624,0,0
11,24,264,-24611.443707833878,-11997.411775333654,-2522.806386500045,-12614.031932500224,-2831.4240081154903,-2336.932777735066,0,0,False,-2336.932777735066,-2831.4240081154903,-2353.2471629577985,-2375.665826131189,-2716.76215756068,-25918.315600649898,-11994.992861840956,-2784.664547761788,0,0
12,24,288,-24615.40558742281,-12059.459749370795,-2511.1891676104033,-12555.945838052015,-2856.1305875753606,-2247.705544224008,0,0,False,-2289.2510649845794,-2856.1305875753606,-2247.705544224008,-2514.844721606975,-2648.013919661092,-25809.73976621431,-12000.365102468442,-2761.874932749173,0,0
13,24,312,-24775.960002423246,-12132.914717244814,-2528.6090570356864,-12643.045285178432,-2759.459949587951,-2296.0602509739365,0,0,False,-2336.373891970626,-2759.459949587951,-2296.0602509739365,-2528.273451235488,-2722.8777414104293,-25730.21824592269,-12010.561226682008,-2743.9314038481357,0,0
14,24,336,-24711.44732089586,-12047.775952689086,-2532.734273641355,-12663.671368206773,-2826.1710955019166,-2292.7006299087716,0,0,False,-2347.737539406466,-2826.1710955019166,-2292.7006299087716,-2489.709451658784,-2707.352651730835,-25657.44889413506,-12013.2194213968,-2728.8458945476514,0,0
15,24,360,-24365.292917214025,-11788.88290385365,-2515.282002672075,-12576.410013360375,-2794.7080442474294,-2287.029440826275,0,0,False,-2351.1037884253424,-2794.7080442474294,-2287.029440826275,-2473.5162862227976,-2670.052453638531,-25571.305162340326,-11998.263653560589,-2714.608301755946,0,0
16,24,384,-24414.53952882161,-11842.406420160929,-2514.4266217321356,-12572.133108660679,-2848.541475003083,-2326.2911930331534,0,0,False,-2326.2911930331534,-2848.541475003083,-2346.2532828322833,-2420.932243217388,-2630.1149145747695,-25499.0073102454,-11988.522576473111,-2702.0969467544583,0,0
17,24,408,-24802.539332981985,-12105.314952180079,-2539.444876160381,-12697.224380801907,-2916.3022409990376,-2214.5241976795896,0,0,False,-2378.027914597079,-2916.3022409990376,-2214.5241976795896,-2434.7544734807293,-2753.6155540454706,-25458.038605700494,-11995.39271622058,-2692.529177895983,0,0
18,24,432,-72327.55007354915,-11743.059778611578,-12116.898058987514,-60584.49029493757,-50409.82599900357,-2290.3105061336605,0,0,False,-2290.3105061336605,-2781.278553670209,-50409.82599900357,-2523.490727278669,-2579.5845088514584,-28061.90035391431,-11981.374219686746,-3216.1052268455123,0,0
19,24,456,-24478.822625744557,-11858.351698968667,-2524.094185355178,-12620.47092677589,-2766.5741123692437,-2334.7415512116363,0,0,False,-2334.7415512116363,-2766.5741123692437,-2409.4128183185603,-2470.9236884130964,-2638.818756463354,-27873.317315589582,-11974.89935017527,-3179.6835930828634,0,0
20,24,480,-24427.62058137253,-11920.24639293164,-2501.4748376881776,-12507.374188440888,-2816.2062916048253,-2231.0287384340872,0,0,False,-2343.7207297777154,-2816.2062916048253,-2231.0287384340872,-2470.7028274327404,-2645.715601191522,-27701.03247887873,-11972.166702313089,-3145.773155313129,0,0
21,24,504,-24546.01970459806,-11947.00599072681,-2519.8027427742504,-12599.013713871253,-2887.8911257402824,-2220.6545656447165,0,0,False,-2423.242209041986,-2887.8911257402824,-2220.6545656447165,-2385.273547643972,-2681.9522658002943,-27694.640807271295,-11966.49209904217,-3145.6297416458237,0,0
22,24,528,-73212.64365805274,-11918.351892304341,-12258.858353149679,-61294.29176574839,-37975.59538087428,-1875.161944343574,85,17,False,-1875.161944343574,-16208.876565439476,-2050.3546649296054,-37975.59538087428,-3184.303210161456,-30117.697807960903,-11956.461631528538,-3632.2472352864725,85,17
23,24,552,-181319.88171525297,-11994.890555269265,-33864.99823199674,-169324.9911599837,-108724.08608768704,-1789.4512156136534,120,24,False,-1789.4512156136534,-2118.056027054088,-108724.08608768704,-53661.22805301519,-3032.1697766137413,-37826.359969746525,-11952.048716759262,-5174.862250597452,205,41
24,24,576,-343458.5889563573,-11854.30143198156,-66320.85750487514,-331604.2875243757,-321284.9886019114,-2204.3401018906334,120,24,False,-2204.3401018906334,-2464.5544532814333,-321284.9886019114,-2489.8431001199856,-3160.5612671722993,-53774.30645953167,-11950.817091363368,-8364.69787363366,325,65
25,24,600,-59181.040787935635,-12200.862745349494,-9396.035608517228,-46980.17804258614,-37027.43032385944,-2120.4962195096286,120,24,False,-2120.4962195096286,-2621.0242689207203,-2426.2647582454592,-2784.962472050896,-37027.43032385944,-55501.70625063102,-11957.596403396823,-8708.821969446837,445,89
26,24,624,-238495.2455852764,-11994.91846739756,-45300.06542357577,-226500.32711787883,-206921.44998207226,-2525.181962423182,120,24,False,-11343.366014390378,-2671.243713438606,-206921.44998207226,-2525.181962423182,-3039.0854455543913,-66201.29343271299,-11961.769073488615,-10847.904871844872,565,113
27,24,648,-289823.5963786549,-12118.656591498448,-55540.98795743128,-277704.9397871564,-264954.7543354183,-2164.4971948425427,120,24,False,-2164.4971948425427,-2208.753719154765,-264954.7543354183,-5295.358515171065,-3081.5760225697804,-79462.68849606096,-11971.098708292004,-13498.31795755379,685,137
28,24,672,-46858.7431384664,-11555.433043392535,-7060.662019014773,-35303.310095073866,-25002.73685180536,-2203.4179588739107,120,24,False,-2363.0807190972946,-2203.4179588739107,-25002.73685180536,-2901.919327478427,-2832.155237818873,-80309.34011458581,-11949.905602078255,-13671.88690250151,805,161
29,24,696,-69493.51566886966,-11577.196870580085,-11583.263759657915,-57916.318798289576,-33220.71403295065,-2001.3745493993529,120,24,False,-2001.3745493993529,-2519.2722674676374,-33220.71403295065,-10430.11188994118,-9744.846058530753,-82560.41072113332,-11932.66146877942,-14125.54985047078,925,185
30,24,720,-161848.47802937258,-12247.884613361268,-29920.11868320226,-149600.5934160113,-117861.83592449961,-2322.3309542551456,120,24,False,-23621.540871456113,-2503.486095259051,-117861.83592449961,-2322.3309542551456,-3291.3995705413654,-89088.41876505483,-11945.266327160312,-15428.630487578897,1045,209
31,24,744,-76093.29489323011,-11627.480067277882,-12893.162965190444,-64465.81482595222,-53983.36507740342,-2114.135873327313,120,24,False,-2125.106073425811,-2114.135873327313,-53983.36507740342,-2802.8466653990213,-3440.3611363966634,-91662.51132432463,-11926.769741757524,-15947.148316513418,1165,233
32,24,768,-95830.01159773265,-11977.147787488502,-16770.57276204883,-83852.86381024415,-52846.86335711876,-2341.058217033851,120,24,False,-22959.767864716494,-2549.560571508603,-2341.058217033851,-52846.86335711876,-3155.613799866447,-95223.24162484011,-11922.65414366341,-16660.117496235336,1285,257
